year,Dolan
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,8
1915,5
1916,7
1917,8
1918,12
1919,9
1920,13
1921,16
1922,11
1923,9
1924,16
1925,6
1926,7
1927,16
1928,10
1929,14
1930,17
1931,11
1932,15
1933,13
1934,21
1935,17
1936,15
1937,18
1938,16
1939,12
1940,11
1941,15
1942,9
1943,12
1944,8
1945,9
1946,18
1947,18
1948,17
1949,18
1950,9
1951,7
1952,14
1953,16
1954,16
1955,16
1956,17
1957,8
1958,11
1959,12
1960,17
1961,8
1962,17
1963,19
1964,8
1965,11
1966,5
1967,12
1968,6
1969,11
1970,26
1971,16
1972,13
1973,10
1974,13
1975,14
1976,5
1977,9
1978,19
1979,12
1980,11
1981,12
1982,9
1983,11
1984,11
1985,6
1986,6
1987,10
1988,15
1989,15
1990,10
1991,27
1992,18
1993,31
1994,33
1995,27
1996,36
1997,27
1998,29
1999,30
2000,23
2001,29
2002,20
2003,28
2004,27
2005,32
2006,29
2007,35
2008,25
2009,22
2010,25
2011,20
2012,26
