year,Dudley (F),Dudley (M)
1880,0.000000,0.000134
1881,0.000000,0.000156
1882,0.000000,0.000126
1883,0.000000,0.000111
1884,0.000000,0.000107
1885,0.000000,0.000116
1886,0.000000,0.000094
1887,0.000000,0.000093
1888,0.000000,0.000100
1889,0.000000,0.000104
1890,0.000000,0.000060
1891,0.000000,0.000084
1892,0.000000,0.000081
1893,0.000000,0.000077
1894,0.000000,0.000100
1895,0.000000,0.000066
1896,0.000000,0.000076
1897,0.000000,0.000069
1898,0.000000,0.000066
1899,0.000000,0.000077
1900,0.000000,0.000073
1901,0.000000,0.000075
1902,0.000000,0.000054
1903,0.000000,0.000092
1904,0.000000,0.000072
1905,0.000000,0.000073
1906,0.000000,0.000075
1907,0.000000,0.000099
1908,0.000000,0.000070
1909,0.000000,0.000049
1910,0.000000,0.000061
1911,0.000000,0.000064
1912,0.000000,0.000114
1913,0.000000,0.000091
1914,0.000004,0.000101
1915,0.000004,0.000091
1916,0.000003,0.000095
1917,0.000002,0.000098
1918,0.000004,0.000086
1919,0.000000,0.000091
1920,0.000000,0.000088
1921,0.000003,0.000079
1922,0.000000,0.000079
1923,0.000000,0.000093
1924,0.000002,0.000085
1925,0.000002,0.000081
1926,0.000000,0.000103
1927,0.000000,0.000083
1928,0.000004,0.000080
1929,0.000002,0.000084
1930,0.000003,0.000093
1931,0.000003,0.000133
1932,0.000000,0.000097
1933,0.000000,0.000084
1934,0.000003,0.000092
1935,0.000000,0.000083
1936,0.000000,0.000079
1937,0.000002,0.000074
1938,0.000000,0.000068
1939,0.000003,0.000074
1940,0.000000,0.000068
1941,0.000003,0.000072
1942,0.000000,0.000066
1943,0.000000,0.000066
1944,0.000003,0.000059
1945,0.000000,0.000058
1946,0.000000,0.000054
1947,0.000000,0.000062
1948,0.000000,0.000060
1949,0.000001,0.000053
1950,0.000002,0.000060
1951,0.000000,0.000054
1952,0.000000,0.000055
1953,0.000000,0.000050
1954,0.000000,0.000049
1955,0.000000,0.000043
1956,0.000000,0.000044
1957,0.000000,0.000038
1958,0.000000,0.000046
1959,0.000000,0.000035
1960,0.000000,0.000036
1961,0.000000,0.000033
1962,0.000000,0.000033
1963,0.000000,0.000034
1964,0.000000,0.000027
1965,0.000000,0.000027
1966,0.000000,0.000021
1967,0.000000,0.000024
1968,0.000000,0.000018
1969,0.000000,0.000020
1970,0.000000,0.000016
1971,0.000000,0.000015
1972,0.000000,0.000017
1973,0.000000,0.000016
1974,0.000000,0.000012
1975,0.000000,0.000016
1976,0.000000,0.000008
1977,0.000000,0.000011
1978,0.000000,0.000010
1979,0.000000,0.000008
1980,0.000000,0.000010
1981,0.000000,0.000010
1982,0.000000,0.000007
1983,0.000000,0.000009
1984,0.000000,0.000008
1985,0.000000,0.000009
1986,0.000000,0.000007
1987,0.000000,0.000007
1988,0.000000,0.000005
1989,0.000000,0.000009
1990,0.000000,0.000008
1991,0.000000,0.000006
1992,0.000000,0.000005
1993,0.000000,0.000006
1994,0.000000,0.000004
1995,0.000000,0.000006
1996,0.000000,0.000007
1997,0.000000,0.000003
1998,0.000000,0.000004
1999,0.000000,0.000005
2000,0.000000,0.000004
2001,0.000000,0.000002
2002,0.000000,0.000003
2003,0.000000,0.000004
2004,0.000000,0.000003
2005,0.000000,0.000003
2006,0.000000,0.000003
2007,0.000000,0.000002
2008,0.000000,0.000003
2009,0.000000,0.000001
2010,0.000000,0.000002
2011,0.000000,0.000004
2012,0.000000,0.000003
