year,Donetta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,8
1920,0
1921,5
1922,9
1923,0
1924,5
1925,0
1926,7
1927,7
1928,15
1929,10
1930,8
1931,17
1932,11
1933,12
1934,13
1935,21
1936,12
1937,13
1938,12
1939,9
1940,26
1941,18
1942,32
1943,23
1944,32
1945,29
1946,25
1947,43
1948,28
1949,35
1950,24
1951,44
1952,45
1953,52
1954,43
1955,40
1956,65
1957,41
1958,39
1959,57
1960,54
1961,50
1962,56
1963,43
1964,42
1965,52
1966,49
1967,42
1968,49
1969,51
1970,35
1971,42
1972,35
1973,34
1974,30
1975,38
1976,30
1977,30
1978,26
1979,31
1980,15
1981,19
1982,17
1983,24
1984,12
1985,11
1986,22
1987,12
1988,22
1989,11
1990,14
1991,8
1992,11
1993,6
1994,6
1995,6
1996,8
1997,0
1998,5
1999,5
2000,0
2001,0
2002,6
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
