year,Donley
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,0
1911,0
1912,5
1913,5
1914,0
1915,0
1916,0
1917,6
1918,14
1919,6
1920,10
1921,10
1922,14
1923,13
1924,12
1925,9
1926,6
1927,10
1928,11
1929,12
1930,13
1931,12
1932,14
1933,15
1934,22
1935,10
1936,17
1937,17
1938,17
1939,9
1940,15
1941,12
1942,8
1943,11
1944,14
1945,9
1946,13
1947,8
1948,12
1949,14
1950,10
1951,15
1952,8
1953,14
1954,5
1955,11
1956,5
1957,7
1958,7
1959,8
1960,0
1961,10
1962,9
1963,5
1964,5
1965,0
1966,5
1967,0
1968,0
1969,0
1970,5
1971,0
1972,0
1973,0
1974,0
1975,5
1976,0
1977,0
1978,0
1979,5
1980,0
1981,0
1982,0
1983,5
1984,5
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,5
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
