year,Dimitra
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,5
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,5
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,5
1954,0
1955,5
1956,6
1957,0
1958,5
1959,0
1960,0
1961,0
1962,9
1963,0
1964,11
1965,8
1966,5
1967,7
1968,8
1969,14
1970,15
1971,19
1972,18
1973,13
1974,21
1975,35
1976,36
1977,39
1978,29
1979,24
1980,31
1981,15
1982,19
1983,17
1984,19
1985,20
1986,18
1987,10
1988,26
1989,24
1990,20
1991,18
1992,10
1993,22
1994,12
1995,14
1996,14
1997,11
1998,8
1999,12
2000,14
2001,9
2002,10
2003,6
2004,11
2005,6
2006,11
2007,6
2008,9
2009,0
2010,5
2011,7
2012,9
