year,Danford
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,5
1919,9
1920,6
1921,0
1922,0
1923,5
1924,0
1925,0
1926,5
1927,6
1928,9
1929,7
1930,8
1931,6
1932,6
1933,8
1934,7
1935,10
1936,5
1937,6
1938,7
1939,7
1940,7
1941,0
1942,7
1943,11
1944,12
1945,11
1946,8
1947,10
1948,19
1949,13
1950,6
1951,11
1952,11
1953,9
1954,6
1955,9
1956,10
1957,10
1958,6
1959,8
1960,8
1961,9
1962,8
1963,10
1964,0
1965,0
1966,0
1967,5
1968,10
1969,0
1970,5
1971,0
1972,0
1973,0
1974,7
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,5
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
