year,Darwin (F),Darwin (M)
1880,0.000000,0.000000
1881,0.000000,0.000026
1882,0.000000,0.000023
1883,0.000000,0.000000
1884,0.000000,0.000021
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000028
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000015
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000020
1898,0.000000,0.000021
1899,0.000000,0.000000
1900,0.000000,0.000011
1901,0.000000,0.000023
1902,0.000000,0.000000
1903,0.000000,0.000013
1904,0.000000,0.000020
1905,0.000000,0.000000
1906,0.000000,0.000016
1907,0.000000,0.000024
1908,0.000000,0.000023
1909,0.000000,0.000022
1910,0.000000,0.000030
1911,0.000000,0.000029
1912,0.000000,0.000046
1913,0.000000,0.000065
1914,0.000000,0.000053
1915,0.000000,0.000076
1916,0.000000,0.000078
1917,0.000000,0.000066
1918,0.000000,0.000072
1919,0.000000,0.000073
1920,0.000000,0.000077
1921,0.000000,0.000092
1922,0.000000,0.000082
1923,0.000000,0.000094
1924,0.000000,0.000092
1925,0.000000,0.000096
1926,0.000000,0.000088
1927,0.000000,0.000104
1928,0.000000,0.000111
1929,0.000000,0.000127
1930,0.000000,0.000126
1931,0.000000,0.000123
1932,0.000000,0.000133
1933,0.000004,0.000150
1934,0.000003,0.000144
1935,0.000000,0.000158
1936,0.000000,0.000146
1937,0.000000,0.000140
1938,0.000000,0.000153
1939,0.000000,0.000151
1940,0.000000,0.000134
1941,0.000000,0.000116
1942,0.000000,0.000119
1943,0.000000,0.000118
1944,0.000000,0.000113
1945,0.000000,0.000088
1946,0.000000,0.000093
1947,0.000000,0.000097
1948,0.000000,0.000085
1949,0.000000,0.000087
1950,0.000000,0.000092
1951,0.000000,0.000087
1952,0.000000,0.000080
1953,0.000000,0.000081
1954,0.000000,0.000081
1955,0.000000,0.000085
1956,0.000000,0.000090
1957,0.000000,0.000091
1958,0.000002,0.000101
1959,0.000000,0.000095
1960,0.000000,0.000094
1961,0.000000,0.000090
1962,0.000000,0.000099
1963,0.000000,0.000088
1964,0.000002,0.000091
1965,0.000000,0.000105
1966,0.000000,0.000096
1967,0.000001,0.000088
1968,0.000000,0.000088
1969,0.000000,0.000075
1970,0.000000,0.000057
1971,0.000000,0.000056
1972,0.000000,0.000045
1973,0.000000,0.000048
1974,0.000000,0.000048
1975,0.000000,0.000041
1976,0.000000,0.000028
1977,0.000000,0.000037
1978,0.000000,0.000033
1979,0.000000,0.000031
1980,0.000000,0.000034
1981,0.000000,0.000035
1982,0.000000,0.000025
1983,0.000000,0.000028
1984,0.000000,0.000035
1985,0.000000,0.000030
1986,0.000000,0.000030
1987,0.000000,0.000032
1988,0.000000,0.000035
1989,0.000000,0.000039
1990,0.000000,0.000032
1991,0.000000,0.000036
1992,0.000000,0.000033
1993,0.000000,0.000036
1994,0.000000,0.000037
1995,0.000001,0.000033
1996,0.000000,0.000029
1997,0.000000,0.000038
1998,0.000000,0.000036
1999,0.000000,0.000035
2000,0.000000,0.000039
2001,0.000000,0.000048
2002,0.000000,0.000048
2003,0.000000,0.000052
2004,0.000001,0.000057
2005,0.000000,0.000055
2006,0.000000,0.000067
2007,0.000000,0.000065
2008,0.000001,0.000071
2009,0.000001,0.000082
2010,0.000002,0.000085
2011,0.000001,0.000080
2012,0.000000,0.000068
