year,Daryl (F),Daryl (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000013
1913,0.000000,0.000005
1914,0.000000,0.000016
1915,0.000003,0.000016
1916,0.000005,0.000008
1917,0.000004,0.000016
1918,0.000000,0.000016
1919,0.000000,0.000018
1920,0.000002,0.000023
1921,0.000000,0.000029
1922,0.000003,0.000087
1923,0.000003,0.000041
1924,0.000004,0.000043
1925,0.000004,0.000041
1926,0.000006,0.000055
1927,0.000003,0.000050
1928,0.000003,0.000047
1929,0.000004,0.000056
1930,0.000008,0.000060
1931,0.000004,0.000059
1932,0.000005,0.000073
1933,0.000007,0.000086
1934,0.000006,0.000076
1935,0.000011,0.000064
1936,0.000013,0.000099
1937,0.000017,0.000108
1938,0.000017,0.000109
1939,0.000022,0.000131
1940,0.000021,0.000145
1941,0.000020,0.000136
1942,0.000018,0.000123
1943,0.000017,0.000128
1944,0.000020,0.000138
1945,0.000028,0.000147
1946,0.000025,0.000188
1947,0.000031,0.000204
1948,0.000039,0.000247
1949,0.000045,0.000280
1950,0.000047,0.000278
1951,0.000043,0.000303
1952,0.000037,0.000312
1953,0.000030,0.000352
1954,0.000032,0.000369
1955,0.000037,0.000382
1956,0.000033,0.000444
1957,0.000028,0.000403
1958,0.000025,0.000432
1959,0.000026,0.000374
1960,0.000023,0.000398
1961,0.000019,0.000406
1962,0.000015,0.000390
1963,0.000017,0.000406
1964,0.000020,0.000394
1965,0.000012,0.000394
1966,0.000018,0.000382
1967,0.000014,0.000396
1968,0.000016,0.000448
1969,0.000016,0.000461
1970,0.000010,0.000498
1971,0.000011,0.000464
1972,0.000010,0.000383
1973,0.000011,0.000341
1974,0.000007,0.000313
1975,0.000008,0.000278
1976,0.000005,0.000295
1977,0.000005,0.000315
1978,0.000007,0.000264
1979,0.000007,0.000262
1980,0.000005,0.000222
1981,0.000004,0.000222
1982,0.000006,0.000205
1983,0.000004,0.000189
1984,0.000009,0.000182
1985,0.000015,0.000200
1986,0.000021,0.000194
1987,0.000021,0.000188
1988,0.000021,0.000176
1989,0.000015,0.000148
1990,0.000018,0.000127
1991,0.000014,0.000125
1992,0.000014,0.000110
1993,0.000014,0.000109
1994,0.000014,0.000095
1995,0.000013,0.000085
1996,0.000011,0.000080
1997,0.000008,0.000081
1998,0.000009,0.000066
1999,0.000007,0.000057
2000,0.000006,0.000061
2001,0.000005,0.000053
2002,0.000003,0.000048
2003,0.000003,0.000046
2004,0.000003,0.000042
2005,0.000003,0.000048
2006,0.000004,0.000045
2007,0.000002,0.000041
2008,0.000002,0.000041
2009,0.000002,0.000035
2010,0.000002,0.000030
2011,0.000003,0.000029
2012,0.000002,0.000027
2013,0.000001,0.000038
