year,Deric
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,7
1953,8
1954,6
1955,9
1956,9
1957,12
1958,17
1959,24
1960,27
1961,45
1962,45
1963,38
1964,62
1965,61
1966,56
1967,58
1968,75
1969,92
1970,117
1971,95
1972,96
1973,77
1974,104
1975,78
1976,85
1977,93
1978,111
1979,98
1980,122
1981,106
1982,111
1983,90
1984,85
1985,84
1986,91
1987,116
1988,103
1989,120
1990,106
1991,115
1992,100
1993,114
1994,96
1995,111
1996,104
1997,85
1998,91
1999,89
2000,100
2001,74
2002,60
2003,74
2004,51
2005,81
2006,62
2007,61
2008,50
2009,50
2010,48
2011,54
2012,41
