year,Danae
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,5
1948,6
1949,5
1950,7
1951,6
1952,5
1953,10
1954,10
1955,16
1956,19
1957,23
1958,5
1959,21
1960,15
1961,19
1962,14
1963,16
1964,22
1965,25
1966,34
1967,29
1968,45
1969,50
1970,38
1971,46
1972,47
1973,44
1974,36
1975,55
1976,44
1977,64
1978,96
1979,78
1980,76
1981,108
1982,122
1983,107
1984,119
1985,124
1986,153
1987,157
1988,162
1989,164
1990,197
1991,211
1992,202
1993,151
1994,172
1995,163
1996,155
1997,157
1998,144
1999,153
2000,171
2001,212
2002,201
2003,196
2004,200
2005,181
2006,182
2007,160
2008,161
2009,148
2010,131
2011,121
2012,97
