year,Deloria
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,5
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,9
1929,5
1930,7
1931,6
1932,5
1933,7
1934,11
1935,8
1936,11
1937,11
1938,10
1939,6
1940,10
1941,9
1942,10
1943,11
1944,11
1945,10
1946,7
1947,10
1948,15
1949,14
1950,15
1951,17
1952,18
1953,7
1954,5
1955,8
1956,13
1957,10
1958,0
1959,6
1960,13
1961,5
1962,10
1963,8
1964,0
1965,10
1966,10
1967,12
1968,0
1969,8
1970,6
1971,9
1972,0
1973,0
1974,6
1975,0
1976,0
1977,0
1978,5
1979,6
1980,0
1981,0
1982,5
1983,0
1984,0
1985,5
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
