year,Dangelo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,11
1964,7
1965,5
1966,0
1967,0
1968,10
1969,5
1970,12
1971,20
1972,12
1973,19
1974,13
1975,23
1976,54
1977,32
1978,32
1979,22
1980,36
1981,45
1982,45
1983,49
1984,73
1985,86
1986,90
1987,105
1988,106
1989,153
1990,149
1991,131
1992,97
1993,103
1994,88
1995,211
1996,604
1997,359
1998,294
1999,315
2000,415
2001,269
2002,234
2003,200
2004,246
2005,218
2006,233
2007,216
2008,205
2009,233
2010,208
2011,194
2012,197
