year,Daymon
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,0
1914,0
1915,6
1916,5
1917,0
1918,0
1919,8
1920,8
1921,12
1922,13
1923,5
1924,6
1925,8
1926,5
1927,6
1928,0
1929,12
1930,0
1931,10
1932,7
1933,7
1934,5
1935,11
1936,6
1937,11
1938,10
1939,7
1940,9
1941,13
1942,10
1943,7
1944,0
1945,7
1946,9
1947,5
1948,7
1949,8
1950,9
1951,7
1952,8
1953,0
1954,12
1955,0
1956,9
1957,7
1958,16
1959,9
1960,9
1961,10
1962,10
1963,8
1964,13
1965,10
1966,20
1967,16
1968,18
1969,16
1970,23
1971,32
1972,18
1973,31
1974,26
1975,24
1976,37
1977,34
1978,25
1979,15
1980,7
1981,11
1982,5
1983,5
1984,0
1985,5
1986,7
1987,14
1988,10
1989,12
1990,16
1991,16
1992,29
1993,23
1994,24
1995,18
1996,30
1997,43
1998,49
1999,43
2000,38
2001,30
2002,31
2003,41
2004,40
2005,42
2006,32
2007,30
2008,31
2009,13
2010,26
2011,21
2012,23
