year,Dallas (F),Dallas (M)
1880,0.000000,0.000099
1881,0.000000,0.000130
1882,0.000000,0.000122
1883,0.000000,0.000088
1884,0.000000,0.000078
1885,0.000000,0.000083
1886,0.000000,0.000098
1887,0.000000,0.000065
1888,0.000000,0.000100
1889,0.000000,0.000114
1890,0.000000,0.000106
1891,0.000000,0.000115
1892,0.000027,0.000090
1893,0.000000,0.000080
1894,0.000018,0.000074
1895,0.000000,0.000094
1896,0.000020,0.000081
1897,0.000000,0.000104
1898,0.000000,0.000073
1899,0.000018,0.000074
1900,0.000020,0.000089
1901,0.000000,0.000084
1902,0.000000,0.000080
1903,0.000024,0.000102
1904,0.000022,0.000094
1905,0.000028,0.000094
1906,0.000019,0.000096
1907,0.000015,0.000105
1908,0.000029,0.000098
1909,0.000022,0.000113
1910,0.000034,0.000100
1911,0.000029,0.000079
1912,0.000024,0.000137
1913,0.000014,0.000111
1914,0.000020,0.000129
1915,0.000016,0.000145
1916,0.000020,0.000132
1917,0.000013,0.000132
1918,0.000016,0.000152
1919,0.000013,0.000143
1920,0.000014,0.000155
1921,0.000015,0.000159
1922,0.000015,0.000166
1923,0.000020,0.000153
1924,0.000019,0.000138
1925,0.000018,0.000159
1926,0.000015,0.000186
1927,0.000019,0.000179
1928,0.000016,0.000166
1929,0.000014,0.000182
1930,0.000017,0.000172
1931,0.000015,0.000196
1932,0.000016,0.000198
1933,0.000018,0.000192
1934,0.000010,0.000194
1935,0.000015,0.000196
1936,0.000012,0.000174
1937,0.000012,0.000191
1938,0.000017,0.000249
1939,0.000015,0.000231
1940,0.000010,0.000211
1941,0.000008,0.000199
1942,0.000016,0.000176
1943,0.000012,0.000174
1944,0.000013,0.000154
1945,0.000012,0.000144
1946,0.000011,0.000120
1947,0.000008,0.000120
1948,0.000010,0.000126
1949,0.000007,0.000106
1950,0.000006,0.000118
1951,0.000012,0.000118
1952,0.000012,0.000111
1953,0.000013,0.000118
1954,0.000012,0.000102
1955,0.000009,0.000104
1956,0.000007,0.000100
1957,0.000007,0.000087
1958,0.000008,0.000089
1959,0.000008,0.000089
1960,0.000010,0.000084
1961,0.000005,0.000082
1962,0.000008,0.000087
1963,0.000007,0.000091
1964,0.000007,0.000086
1965,0.000005,0.000088
1966,0.000009,0.000087
1967,0.000006,0.000080
1968,0.000011,0.000089
1969,0.000010,0.000086
1970,0.000020,0.000099
1971,0.000014,0.000102
1972,0.000013,0.000097
1973,0.000015,0.000092
1974,0.000012,0.000096
1975,0.000012,0.000113
1976,0.000018,0.000108
1977,0.000017,0.000106
1978,0.000026,0.000146
1979,0.000033,0.000183
1980,0.000034,0.000197
1981,0.000034,0.000170
1982,0.000025,0.000152
1983,0.000023,0.000133
1984,0.000032,0.000158
1985,0.000024,0.000157
1986,0.000026,0.000151
1987,0.000027,0.000156
1988,0.000033,0.000160
1989,0.000029,0.000153
1990,0.000027,0.000150
1991,0.000026,0.000178
1992,0.000091,0.000233
1993,0.000119,0.000307
1994,0.000126,0.000351
1995,0.000122,0.000375
1996,0.000120,0.000353
1997,0.000095,0.000326
1998,0.000078,0.000274
1999,0.000064,0.000257
2000,0.000064,0.000250
2001,0.000056,0.000235
2002,0.000056,0.000215
2003,0.000049,0.000180
2004,0.000049,0.000206
2005,0.000046,0.000212
2006,0.000052,0.000218
2007,0.000050,0.000238
2008,0.000050,0.000253
2009,0.000056,0.000244
2010,0.000060,0.000271
2011,0.000065,0.000263
2012,0.000079,0.000269
2013,0.000126,0.000320
2014,0.000141,0.000368
2015,0.000149,0.000383
2016,0.000131,0.000334
2017,0.000146,0.000391
2018,0.000134,0.000350
2019,0.000147,0.000354
2020,0.000138,0.000378
