year,Dalvin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,7
1922,0
1923,0
1924,0
1925,0
1926,7
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,6
1936,0
1937,0
1938,0
1939,6
1940,0
1941,0
1942,0
1943,0
1944,5
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,7
1958,5
1959,0
1960,7
1961,0
1962,5
1963,7
1964,5
1965,7
1966,9
1967,0
1968,5
1969,7
1970,0
1971,6
1972,7
1973,0
1974,5
1975,6
1976,14
1977,9
1978,6
1979,5
1980,8
1981,8
1982,9
1983,16
1984,7
1985,13
1986,10
1987,7
1988,13
1989,7
1990,13
1991,6
1992,132
1993,179
1994,143
1995,99
1996,129
1997,82
1998,71
1999,36
2000,48
2001,37
2002,26
2003,17
2004,18
2005,15
2006,21
2007,18
2008,17
2009,16
2010,15
2011,15
2012,19
