year,Dyana
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,7
1945,0
1946,0
1947,5
1948,15
1949,7
1950,11
1951,12
1952,0
1953,8
1954,10
1955,8
1956,13
1957,19
1958,14
1959,11
1960,17
1961,10
1962,15
1963,16
1964,25
1965,16
1966,30
1967,31
1968,27
1969,24
1970,38
1971,35
1972,27
1973,19
1974,40
1975,29
1976,21
1977,26
1978,32
1979,32
1980,26
1981,32
1982,37
1983,33
1984,32
1985,39
1986,29
1987,33
1988,25
1989,27
1990,34
1991,35
1992,27
1993,26
1994,32
1995,33
1996,27
1997,27
1998,39
1999,27
2000,31
2001,28
2002,39
2003,35
2004,53
2005,38
2006,45
2007,37
2008,36
2009,35
2010,36
2011,23
2012,22
