year,Donelda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,5
1914,0
1915,8
1916,6
1917,8
1918,10
1919,7
1920,10
1921,9
1922,10
1923,12
1924,13
1925,12
1926,13
1927,17
1928,11
1929,13
1930,14
1931,16
1932,18
1933,13
1934,14
1935,15
1936,18
1937,12
1938,15
1939,12
1940,14
1941,10
1942,11
1943,13
1944,13
1945,9
1946,9
1947,7
1948,12
1949,7
1950,12
1951,7
1952,7
1953,9
1954,6
1955,7
1956,6
1957,10
1958,6
1959,7
1960,8
1961,8
1962,0
1963,6
1964,7
1965,0
1966,6
1967,0
1968,0
1969,6
1970,5
1971,0
1972,5
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
