year,Dustin (F),Dustin (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000003
1917,0.000000,0.000003
1918,0.000000,0.000005
1919,0.000000,0.000003
1920,0.000000,0.000004
1921,0.000000,0.000003
1922,0.000000,0.000005
1923,0.000000,0.000003
1924,0.000000,0.000004
1925,0.000000,0.000000
1926,0.000000,0.000003
1927,0.000000,0.000003
1928,0.000000,0.000000
1929,0.000000,0.000000
1930,0.000000,0.000000
1931,0.000000,0.000000
1932,0.000000,0.000000
1933,0.000000,0.000000
1934,0.000000,0.000000
1935,0.000000,0.000003
1936,0.000000,0.000000
1937,0.000000,0.000000
1938,0.000000,0.000005
1939,0.000000,0.000000
1940,0.000000,0.000006
1941,0.000000,0.000003
1942,0.000000,0.000004
1943,0.000000,0.000004
1944,0.000000,0.000006
1945,0.000000,0.000010
1946,0.000000,0.000008
1947,0.000000,0.000009
1948,0.000000,0.000006
1949,0.000000,0.000009
1950,0.000000,0.000006
1951,0.000000,0.000007
1952,0.000000,0.000007
1953,0.000000,0.000006
1954,0.000000,0.000008
1955,0.000000,0.000010
1956,0.000000,0.000007
1957,0.000000,0.000008
1958,0.000000,0.000005
1959,0.000000,0.000009
1960,0.000000,0.000013
1961,0.000000,0.000011
1962,0.000000,0.000013
1963,0.000000,0.000011
1964,0.000000,0.000011
1965,0.000000,0.000014
1966,0.000000,0.000014
1967,0.000000,0.000015
1968,0.000005,0.000133
1969,0.000004,0.000218
1970,0.000005,0.000356
1971,0.000006,0.000428
1972,0.000006,0.000497
1973,0.000010,0.000536
1974,0.000006,0.000723
1975,0.000009,0.000888
1976,0.000011,0.001059
1977,0.000012,0.001095
1978,0.000011,0.001316
1979,0.000017,0.001472
1980,0.000021,0.002444
1981,0.000029,0.002704
1982,0.000023,0.002723
1983,0.000027,0.002797
1984,0.000025,0.002983
1985,0.000023,0.002926
1986,0.000031,0.002902
1987,0.000022,0.002803
1988,0.000023,0.002528
1989,0.000012,0.002529
1990,0.000008,0.002140
1991,0.000006,0.001897
1992,0.000006,0.001771
1993,0.000005,0.001674
1994,0.000004,0.001738
1995,0.000004,0.001618
1996,0.000006,0.001337
1997,0.000003,0.001180
1998,0.000000,0.000937
1999,0.000002,0.000770
2000,0.000002,0.000693
2001,0.000000,0.000648
2002,0.000001,0.000530
2003,0.000001,0.000465
2004,0.000004,0.000406
2005,0.000002,0.000384
2006,0.000000,0.000338
2007,0.000000,0.000315
2008,0.000000,0.000280
2009,0.000002,0.000263
2010,0.000000,0.000234
2011,0.000000,0.000219
2012,0.000000,0.000219
2013,0.000000,0.000183
