year,Delinda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,6
1918,0
1919,7
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,5
1936,0
1937,0
1938,6
1939,0
1940,6
1941,12
1942,20
1943,12
1944,18
1945,16
1946,32
1947,33
1948,27
1949,37
1950,35
1951,37
1952,30
1953,36
1954,47
1955,48
1956,92
1957,69
1958,87
1959,73
1960,56
1961,84
1962,92
1963,107
1964,117
1965,114
1966,88
1967,98
1968,75
1969,70
1970,48
1971,62
1972,43
1973,38
1974,25
1975,19
1976,21
1977,30
1978,19
1979,17
1980,19
1981,18
1982,14
1983,16
1984,17
1985,11
1986,14
1987,6
1988,5
1989,9
1990,5
1991,9
1992,5
1993,5
1994,7
1995,0
1996,0
1997,5
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,7
2005,0
2006,0
2007,0
2008,11
2009,8
2010,0
2011,0
2012,5
