year,Dorethea
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,9
1913,6
1914,13
1915,10
1916,11
1917,7
1918,14
1919,19
1920,23
1921,11
1922,16
1923,20
1924,17
1925,22
1926,13
1927,20
1928,23
1929,14
1930,22
1931,19
1932,25
1933,19
1934,17
1935,15
1936,19
1937,12
1938,13
1939,15
1940,13
1941,13
1942,14
1943,7
1944,17
1945,11
1946,10
1947,23
1948,18
1949,17
1950,22
1951,22
1952,21
1953,22
1954,18
1955,22
1956,32
1957,29
1958,19
1959,17
1960,19
1961,23
1962,17
1963,25
1964,19
1965,19
1966,8
1967,13
1968,14
1969,10
1970,8
1971,8
1972,12
1973,0
1974,6
1975,10
1976,5
1977,6
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
