year,Davis (F),Davis (M)
1880,0.000000,0.000084
1881,0.000000,0.000067
1882,0.000000,0.000041
1883,0.000000,0.000051
1884,0.000000,0.000045
1885,0.000000,0.000087
1886,0.000000,0.000070
1887,0.000000,0.000049
1888,0.000000,0.000063
1889,0.000000,0.000073
1890,0.000000,0.000066
1891,0.000000,0.000056
1892,0.000000,0.000060
1893,0.000000,0.000049
1894,0.000000,0.000035
1895,0.000000,0.000040
1896,0.000000,0.000059
1897,0.000000,0.000032
1898,0.000000,0.000037
1899,0.000000,0.000035
1900,0.000000,0.000044
1901,0.000000,0.000084
1902,0.000000,0.000021
1903,0.000000,0.000058
1904,0.000000,0.000059
1905,0.000000,0.000050
1906,0.000000,0.000077
1907,0.000000,0.000041
1908,0.000000,0.000041
1909,0.000000,0.000037
1910,0.000000,0.000068
1911,0.000000,0.000048
1912,0.000000,0.000048
1913,0.000000,0.000047
1914,0.000006,0.000056
1915,0.000005,0.000057
1916,0.000004,0.000059
1917,0.000004,0.000057
1918,0.000000,0.000061
1919,0.000000,0.000071
1920,0.000003,0.000052
1921,0.000004,0.000061
1922,0.000005,0.000061
1923,0.000003,0.000054
1924,0.000006,0.000073
1925,0.000007,0.000060
1926,0.000009,0.000053
1927,0.000008,0.000061
1928,0.000005,0.000060
1929,0.000005,0.000050
1930,0.000004,0.000049
1931,0.000002,0.000057
1932,0.000002,0.000054
1933,0.000004,0.000048
1934,0.000000,0.000056
1935,0.000004,0.000050
1936,0.000000,0.000059
1937,0.000000,0.000055
1938,0.000000,0.000055
1939,0.000000,0.000052
1940,0.000000,0.000051
1941,0.000004,0.000044
1942,0.000003,0.000045
1943,0.000000,0.000046
1944,0.000002,0.000035
1945,0.000000,0.000048
1946,0.000000,0.000045
1947,0.000000,0.000041
1948,0.000000,0.000046
1949,0.000003,0.000045
1950,0.000001,0.000036
1951,0.000000,0.000039
1952,0.000001,0.000037
1953,0.000000,0.000033
1954,0.000000,0.000037
1955,0.000000,0.000037
1956,0.000000,0.000034
1957,0.000001,0.000029
1958,0.000001,0.000033
1959,0.000000,0.000034
1960,0.000001,0.000032
1961,0.000000,0.000033
1962,0.000000,0.000028
1963,0.000001,0.000031
1964,0.000000,0.000028
1965,0.000000,0.000032
1966,0.000000,0.000031
1967,0.000002,0.000034
1968,0.000001,0.000029
1969,0.000000,0.000028
1970,0.000000,0.000037
1971,0.000000,0.000034
1972,0.000000,0.000031
1973,0.000002,0.000033
1974,0.000000,0.000028
1975,0.000002,0.000033
1976,0.000000,0.000037
1977,0.000002,0.000036
1978,0.000000,0.000039
1979,0.000000,0.000040
1980,0.000002,0.000040
1981,0.000001,0.000046
1982,0.000000,0.000049
1983,0.000000,0.000045
1984,0.000000,0.000051
1985,0.000000,0.000051
1986,0.000002,0.000068
1987,0.000001,0.000069
1988,0.000002,0.000073
1989,0.000002,0.000075
1990,0.000003,0.000071
1991,0.000003,0.000076
1992,0.000003,0.000102
1993,0.000003,0.000121
1994,0.000003,0.000146
1995,0.000002,0.000153
1996,0.000006,0.000156
1997,0.000004,0.000178
1998,0.000003,0.000184
1999,0.000005,0.000191
2000,0.000007,0.000180
2001,0.000005,0.000196
2002,0.000005,0.000178
2003,0.000005,0.000185
2004,0.000007,0.000195
2005,0.000005,0.000190
2006,0.000005,0.000185
2007,0.000004,0.000189
2008,0.000004,0.000185
2009,0.000003,0.000174
2010,0.000005,0.000178
2011,0.000004,0.000172
2012,0.000009,0.000188
