year,Delwin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,11
1913,5
1914,8
1915,10
1916,16
1917,19
1918,11
1919,18
1920,16
1921,20
1922,15
1923,30
1924,20
1925,18
1926,13
1927,18
1928,16
1929,24
1930,17
1931,22
1932,20
1933,33
1934,22
1935,43
1936,35
1937,34
1938,21
1939,31
1940,28
1941,22
1942,35
1943,21
1944,14
1945,15
1946,23
1947,26
1948,16
1949,20
1950,23
1951,16
1952,25
1953,28
1954,28
1955,34
1956,29
1957,17
1958,29
1959,30
1960,21
1961,31
1962,32
1963,21
1964,18
1965,17
1966,21
1967,11
1968,17
1969,36
1970,38
1971,27
1972,19
1973,23
1974,17
1975,24
1976,18
1977,17
1978,18
1979,19
1980,16
1981,9
1982,14
1983,12
1984,6
1985,8
1986,14
1987,7
1988,7
1989,9
1990,10
1991,12
1992,6
1993,7
1994,0
1995,14
1996,6
1997,7
1998,14
1999,10
2000,6
2001,14
2002,10
2003,7
2004,10
2005,7
2006,13
2007,10
2008,7
2009,6
2010,0
2011,7
2012,0
