year,Dietra
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,25
1945,16
1946,17
1947,8
1948,5
1949,8
1950,7
1951,8
1952,6
1953,0
1954,5
1955,0
1956,0
1957,15
1958,7
1959,8
1960,16
1961,35
1962,26
1963,23
1964,25
1965,29
1966,20
1967,16
1968,28
1969,30
1970,37
1971,25
1972,25
1973,19
1974,16
1975,23
1976,25
1977,17
1978,10
1979,13
1980,11
1981,12
1982,7
1983,9
1984,10
1985,5
1986,0
1987,0
1988,0
1989,10
1990,5
1991,0
1992,8
1993,0
1994,5
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
