year,Drema
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,5
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,9
1931,9
1932,9
1933,10
1934,8
1935,19
1936,15
1937,14
1938,21
1939,18
1940,24
1941,42
1942,38
1943,42
1944,36
1945,46
1946,63
1947,57
1948,83
1949,98
1950,76
1951,91
1952,76
1953,93
1954,99
1955,65
1956,78
1957,103
1958,97
1959,112
1960,71
1961,71
1962,55
1963,50
1964,55
1965,65
1966,58
1967,30
1968,50
1969,32
1970,28
1971,28
1972,29
1973,37
1974,32
1975,18
1976,13
1977,20
1978,16
1979,10
1980,15
1981,10
1982,11
1983,5
1984,10
1985,7
1986,5
1987,6
1988,10
1989,9
1990,8
1991,7
1992,0
1993,6
1994,8
1995,0
1996,5
1997,5
1998,6
1999,0
2000,7
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
