year,Duncan (F),Duncan (M)
1880,0.000000,0.000060
1881,0.000000,0.000062
1882,0.000000,0.000054
1883,0.000000,0.000083
1884,0.000000,0.000041
1885,0.000000,0.000058
1886,0.000000,0.000047
1887,0.000000,0.000073
1888,0.000000,0.000050
1889,0.000000,0.000055
1890,0.000000,0.000030
1891,0.000000,0.000035
1892,0.000000,0.000057
1893,0.000000,0.000031
1894,0.000000,0.000030
1895,0.000000,0.000040
1896,0.000000,0.000039
1897,0.000000,0.000023
1898,0.000000,0.000034
1899,0.000000,0.000029
1900,0.000000,0.000038
1901,0.000000,0.000020
1902,0.000000,0.000028
1903,0.000000,0.000042
1904,0.000000,0.000040
1905,0.000000,0.000028
1906,0.000000,0.000026
1907,0.000000,0.000026
1908,0.000000,0.000029
1909,0.000000,0.000000
1910,0.000000,0.000024
1911,0.000000,0.000039
1912,0.000000,0.000047
1913,0.000000,0.000041
1914,0.000000,0.000037
1915,0.000000,0.000038
1916,0.000000,0.000034
1917,0.000000,0.000034
1918,0.000000,0.000037
1919,0.000000,0.000034
1920,0.000000,0.000038
1921,0.000000,0.000032
1922,0.000000,0.000036
1923,0.000000,0.000031
1924,0.000000,0.000032
1925,0.000000,0.000037
1926,0.000000,0.000031
1927,0.000000,0.000025
1928,0.000000,0.000039
1929,0.000000,0.000032
1930,0.000000,0.000030
1931,0.000000,0.000030
1932,0.000000,0.000031
1933,0.000000,0.000031
1934,0.000000,0.000026
1935,0.000000,0.000032
1936,0.000000,0.000033
1937,0.000000,0.000033
1938,0.000000,0.000031
1939,0.000000,0.000030
1940,0.000000,0.000038
1941,0.000000,0.000041
1942,0.000000,0.000042
1943,0.000000,0.000038
1944,0.000000,0.000038
1945,0.000000,0.000043
1946,0.000000,0.000038
1947,0.000000,0.000044
1948,0.000000,0.000039
1949,0.000000,0.000040
1950,0.000000,0.000038
1951,0.000000,0.000037
1952,0.000000,0.000037
1953,0.000000,0.000038
1954,0.000000,0.000040
1955,0.000000,0.000036
1956,0.000000,0.000043
1957,0.000000,0.000050
1958,0.000000,0.000068
1959,0.000000,0.000061
1960,0.000000,0.000042
1961,0.000000,0.000035
1962,0.000000,0.000035
1963,0.000000,0.000066
1964,0.000000,0.000040
1965,0.000000,0.000035
1966,0.000000,0.000031
1967,0.000000,0.000025
1968,0.000000,0.000029
1969,0.000000,0.000028
1970,0.000000,0.000037
1971,0.000000,0.000028
1972,0.000000,0.000028
1973,0.000000,0.000040
1974,0.000000,0.000028
1975,0.000000,0.000028
1976,0.000000,0.000027
1977,0.000000,0.000024
1978,0.000000,0.000027
1979,0.000000,0.000025
1980,0.000000,0.000028
1981,0.000000,0.000025
1982,0.000000,0.000027
1983,0.000000,0.000038
1984,0.000000,0.000039
1985,0.000000,0.000046
1986,0.000000,0.000046
1987,0.000000,0.000045
1988,0.000000,0.000046
1989,0.000000,0.000054
1990,0.000000,0.000048
1991,0.000000,0.000060
1992,0.000000,0.000067
1993,0.000000,0.000087
1994,0.000000,0.000104
1995,0.000000,0.000125
1996,0.000002,0.000139
1997,0.000000,0.000178
1998,0.000000,0.000174
1999,0.000000,0.000156
2000,0.000000,0.000140
2001,0.000000,0.000134
2002,0.000000,0.000126
2003,0.000000,0.000111
2004,0.000000,0.000105
2005,0.000000,0.000093
2006,0.000000,0.000089
2007,0.000000,0.000072
2008,0.000000,0.000082
2009,0.000000,0.000083
2010,0.000000,0.000089
2011,0.000000,0.000075
2012,0.000000,0.000072
