year,Dayton (F),Dayton (M)
1880,0.000000,0.000040
1881,0.000000,0.000000
1882,0.000000,0.000032
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000037
1886,0.000000,0.000023
1887,0.000000,0.000032
1888,0.000000,0.000023
1889,0.000000,0.000000
1890,0.000000,0.000030
1891,0.000000,0.000024
1892,0.000000,0.000018
1893,0.000000,0.000025
1894,0.000000,0.000038
1895,0.000000,0.000028
1896,0.000000,0.000020
1897,0.000000,0.000014
1898,0.000000,0.000024
1899,0.000000,0.000018
1900,0.000000,0.000016
1901,0.000000,0.000017
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000022
1905,0.000000,0.000017
1906,0.000000,0.000000
1907,0.000000,0.000021
1908,0.000000,0.000016
1909,0.000000,0.000014
1910,0.000000,0.000025
1911,0.000000,0.000020
1912,0.000000,0.000021
1913,0.000000,0.000037
1914,0.000000,0.000035
1915,0.000000,0.000039
1916,0.000000,0.000034
1917,0.000000,0.000034
1918,0.000000,0.000039
1919,0.000000,0.000042
1920,0.000000,0.000038
1921,0.000000,0.000033
1922,0.000000,0.000034
1923,0.000000,0.000037
1924,0.000000,0.000034
1925,0.000000,0.000039
1926,0.000000,0.000030
1927,0.000000,0.000031
1928,0.000000,0.000027
1929,0.000000,0.000027
1930,0.000000,0.000026
1931,0.000000,0.000032
1932,0.000000,0.000034
1933,0.000000,0.000031
1934,0.000000,0.000025
1935,0.000000,0.000028
1936,0.000000,0.000029
1937,0.000000,0.000029
1938,0.000000,0.000022
1939,0.000000,0.000032
1940,0.000000,0.000019
1941,0.000000,0.000020
1942,0.000000,0.000021
1943,0.000000,0.000021
1944,0.000000,0.000018
1945,0.000000,0.000019
1946,0.000000,0.000015
1947,0.000000,0.000016
1948,0.000000,0.000016
1949,0.000000,0.000013
1950,0.000000,0.000012
1951,0.000000,0.000014
1952,0.000000,0.000015
1953,0.000000,0.000014
1954,0.000000,0.000008
1955,0.000000,0.000011
1956,0.000000,0.000011
1957,0.000000,0.000010
1958,0.000000,0.000011
1959,0.000000,0.000010
1960,0.000000,0.000010
1961,0.000000,0.000007
1962,0.000000,0.000007
1963,0.000000,0.000007
1964,0.000000,0.000009
1965,0.000000,0.000011
1966,0.000000,0.000010
1967,0.000000,0.000011
1968,0.000000,0.000009
1969,0.000000,0.000009
1970,0.000000,0.000010
1971,0.000000,0.000014
1972,0.000000,0.000012
1973,0.000000,0.000011
1974,0.000000,0.000016
1975,0.000000,0.000011
1976,0.000000,0.000011
1977,0.000000,0.000011
1978,0.000000,0.000013
1979,0.000000,0.000013
1980,0.000000,0.000015
1981,0.000000,0.000016
1982,0.000000,0.000012
1983,0.000000,0.000015
1984,0.000000,0.000014
1985,0.000000,0.000016
1986,0.000000,0.000020
1987,0.000000,0.000015
1988,0.000000,0.000021
1989,0.000000,0.000021
1990,0.000000,0.000035
1991,0.000001,0.000029
1992,0.000002,0.000032
1993,0.000003,0.000041
1994,0.000004,0.000052
1995,0.000004,0.000061
1996,0.000004,0.000076
1997,0.000004,0.000077
1998,0.000003,0.000096
1999,0.000007,0.000096
2000,0.000007,0.000098
2001,0.000006,0.000121
2002,0.000007,0.000124
2003,0.000006,0.000128
2004,0.000006,0.000127
2005,0.000005,0.000119
2006,0.000007,0.000118
2007,0.000004,0.000129
2008,0.000008,0.000145
2009,0.000007,0.000135
2010,0.000004,0.000116
2011,0.000005,0.000108
2012,0.000004,0.000116
2013,0.000007,0.000093
