year,Donold
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,5
1918,8
1919,9
1920,0
1921,16
1922,9
1923,7
1924,10
1925,11
1926,14
1927,15
1928,17
1929,18
1930,17
1931,19
1932,14
1933,15
1934,26
1935,19
1936,19
1937,11
1938,25
1939,14
1940,17
1941,18
1942,15
1943,15
1944,20
1945,12
1946,10
1947,15
1948,14
1949,18
1950,14
1951,16
1952,24
1953,10
1954,20
1955,19
1956,13
1957,16
1958,21
1959,13
1960,25
1961,12
1962,20
1963,17
1964,18
1965,16
1966,7
1967,7
1968,6
1969,10
1970,10
1971,5
1972,9
1973,0
1974,9
1975,5
1976,5
1977,0
1978,6
1979,0
1980,5
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
