year,Dessa
1880,12
1881,7
1882,8
1883,10
1884,6
1885,9
1886,10
1887,7
1888,13
1889,17
1890,0
1891,8
1892,9
1893,7
1894,10
1895,11
1896,10
1897,14
1898,12
1899,17
1900,16
1901,11
1902,0
1903,7
1904,12
1905,0
1906,8
1907,7
1908,11
1909,7
1910,17
1911,6
1912,9
1913,22
1914,13
1915,18
1916,20
1917,17
1918,17
1919,13
1920,16
1921,21
1922,22
1923,18
1924,14
1925,14
1926,11
1927,17
1928,8
1929,15
1930,9
1931,11
1932,23
1933,5
1934,12
1935,9
1936,9
1937,13
1938,10
1939,10
1940,7
1941,9
1942,7
1943,8
1944,5
1945,9
1946,12
1947,12
1948,17
1949,9
1950,12
1951,12
1952,18
1953,10
1954,12
1955,11
1956,18
1957,11
1958,9
1959,12
1960,12
1961,13
1962,9
1963,13
1964,13
1965,12
1966,13
1967,10
1968,12
1969,12
1970,14
1971,9
1972,7
1973,7
1974,16
1975,12
1976,11
1977,8
1978,19
1979,15
1980,17
1981,7
1982,19
1983,19
1984,13
1985,11
1986,7
1987,11
1988,16
1989,12
1990,17
1991,9
1992,8
1993,18
1994,13
1995,7
1996,11
1997,0
1998,10
1999,8
2000,18
2001,31
2002,13
2003,17
2004,14
2005,21
2006,16
2007,24
2008,17
2009,12
2010,12
2011,16
2012,19
