year,Durwood
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,6
1909,7
1910,0
1911,8
1912,20
1913,13
1914,32
1915,55
1916,50
1917,40
1918,52
1919,55
1920,56
1921,63
1922,53
1923,69
1924,63
1925,48
1926,60
1927,46
1928,54
1929,62
1930,48
1931,64
1932,60
1933,48
1934,59
1935,56
1936,59
1937,59
1938,60
1939,52
1940,52
1941,43
1942,49
1943,72
1944,69
1945,42
1946,44
1947,54
1948,41
1949,23
1950,30
1951,44
1952,53
1953,29
1954,44
1955,41
1956,32
1957,51
1958,27
1959,25
1960,23
1961,36
1962,25
1963,23
1964,16
1965,18
1966,24
1967,17
1968,12
1969,21
1970,15
1971,10
1972,13
1973,8
1974,13
1975,9
1976,8
1977,8
1978,11
1979,7
1980,0
1981,0
1982,5
1983,0
1984,6
1985,0
1986,0
1987,6
1988,6
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,5
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
