year,Deetta
1880,0
1881,0
1882,0
1883,5
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,5
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,6
1914,7
1915,10
1916,16
1917,17
1918,17
1919,14
1920,13
1921,12
1922,22
1923,12
1924,21
1925,13
1926,17
1927,11
1928,17
1929,10
1930,13
1931,11
1932,17
1933,14
1934,12
1935,6
1936,13
1937,22
1938,11
1939,21
1940,21
1941,34
1942,25
1943,26
1944,20
1945,26
1946,26
1947,19
1948,28
1949,22
1950,15
1951,25
1952,19
1953,16
1954,32
1955,31
1956,19
1957,17
1958,25
1959,18
1960,33
1961,21
1962,22
1963,20
1964,20
1965,7
1966,15
1967,20
1968,11
1969,13
1970,13
1971,16
1972,9
1973,12
1974,12
1975,14
1976,9
1977,11
1978,0
1979,0
1980,5
1981,11
1982,7
1983,0
1984,0
1985,0
1986,6
1987,0
1988,5
1989,0
1990,5
1991,5
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
