year,Demaris
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,11
1915,5
1916,9
1917,8
1918,7
1919,8
1920,10
1921,7
1922,6
1923,11
1924,11
1925,17
1926,10
1927,0
1928,11
1929,15
1930,17
1931,8
1932,16
1933,13
1934,11
1935,17
1936,18
1937,14
1938,13
1939,12
1940,13
1941,20
1942,13
1943,13
1944,16
1945,7
1946,17
1947,9
1948,16
1949,10
1950,12
1951,16
1952,25
1953,10
1954,8
1955,10
1956,15
1957,13
1958,14
1959,14
1960,10
1961,16
1962,15
1963,11
1964,14
1965,11
1966,13
1967,8
1968,5
1969,8
1970,13
1971,10
1972,12
1973,15
1974,7
1975,9
1976,6
1977,12
1978,13
1979,5
1980,15
1981,17
1982,14
1983,18
1984,17
1985,18
1986,13
1987,26
1988,14
1989,20
1990,12
1991,22
1992,12
1993,20
1994,10
1995,18
1996,21
1997,22
1998,14
1999,23
2000,13
2001,20
2002,16
2003,17
2004,15
2005,8
2006,13
2007,16
2008,19
2009,10
2010,7
2011,13
2012,0
