year,Debi
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,6
1947,10
1948,18
1949,14
1950,14
1951,34
1952,37
1953,60
1954,79
1955,128
1956,193
1957,383
1958,503
1959,429
1960,357
1961,251
1962,232
1963,172
1964,145
1965,92
1966,65
1967,62
1968,54
1969,62
1970,50
1971,44
1972,34
1973,33
1974,22
1975,18
1976,23
1977,10
1978,19
1979,17
1980,13
1981,14
1982,18
1983,13
1984,6
1985,11
1986,12
1987,7
1988,12
1989,9
1990,5
1991,10
1992,7
1993,0
1994,0
1995,0
1996,0
1997,0
1998,6
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,5
2006,6
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
