year,Dimas
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,5
1918,0
1919,5
1920,0
1921,0
1922,0
1923,10
1924,0
1925,5
1926,0
1927,7
1928,7
1929,0
1930,5
1931,0
1932,10
1933,0
1934,0
1935,11
1936,7
1937,11
1938,6
1939,6
1940,7
1941,5
1942,7
1943,0
1944,8
1945,6
1946,15
1947,11
1948,7
1949,13
1950,7
1951,7
1952,12
1953,13
1954,12
1955,11
1956,13
1957,14
1958,15
1959,12
1960,12
1961,7
1962,16
1963,8
1964,14
1965,24
1966,17
1967,16
1968,14
1969,14
1970,18
1971,15
1972,11
1973,15
1974,9
1975,12
1976,17
1977,15
1978,13
1979,25
1980,19
1981,20
1982,21
1983,22
1984,14
1985,25
1986,29
1987,23
1988,30
1989,26
1990,29
1991,29
1992,26
1993,27
1994,27
1995,24
1996,41
1997,41
1998,28
1999,28
2000,33
2001,29
2002,31
2003,28
2004,23
2005,22
2006,30
2007,38
2008,37
2009,33
2010,20
2011,29
2012,32
