year,Donnetta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,5
1921,0
1922,0
1923,5
1924,0
1925,5
1926,0
1927,7
1928,9
1929,5
1930,0
1931,0
1932,0
1933,9
1934,7
1935,5
1936,7
1937,6
1938,7
1939,0
1940,9
1941,10
1942,5
1943,21
1944,14
1945,13
1946,20
1947,19
1948,21
1949,11
1950,15
1951,14
1952,23
1953,28
1954,25
1955,25
1956,24
1957,26
1958,36
1959,32
1960,31
1961,43
1962,47
1963,46
1964,32
1965,42
1966,40
1967,36
1968,35
1969,47
1970,41
1971,27
1972,45
1973,30
1974,32
1975,36
1976,36
1977,31
1978,27
1979,26
1980,26
1981,32
1982,26
1983,28
1984,21
1985,18
1986,15
1987,20
1988,14
1989,25
1990,14
1991,15
1992,19
1993,16
1994,8
1995,9
1996,0
1997,5
1998,0
1999,0
2000,5
2001,0
2002,0
2003,0
2004,0
2005,7
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
