year,Dinah
1880,6
1881,0
1882,8
1883,9
1884,9
1885,12
1886,7
1887,5
1888,12
1889,15
1890,9
1891,0
1892,7
1893,8
1894,11
1895,12
1896,13
1897,13
1898,6
1899,8
1900,24
1901,7
1902,12
1903,0
1904,14
1905,15
1906,6
1907,14
1908,12
1909,9
1910,12
1911,15
1912,23
1913,21
1914,27
1915,21
1916,31
1917,24
1918,21
1919,32
1920,23
1921,31
1922,30
1923,27
1924,30
1925,22
1926,25
1927,21
1928,24
1929,12
1930,22
1931,17
1932,23
1933,35
1934,26
1935,37
1936,26
1937,35
1938,33
1939,35
1940,42
1941,69
1942,142
1943,178
1944,188
1945,162
1946,188
1947,217
1948,190
1949,216
1950,248
1951,237
1952,257
1953,257
1954,269
1955,346
1956,333
1957,324
1958,331
1959,298
1960,295
1961,237
1962,208
1963,177
1964,174
1965,142
1966,123
1967,89
1968,90
1969,90
1970,103
1971,91
1972,97
1973,78
1974,60
1975,98
1976,81
1977,74
1978,69
1979,85
1980,57
1981,79
1982,64
1983,66
1984,72
1985,63
1986,43
1987,52
1988,68
1989,63
1990,51
1991,41
1992,45
1993,45
1994,51
1995,47
1996,64
1997,43
1998,51
1999,71
2000,65
2001,75
2002,73
2003,69
2004,55
2005,39
2006,60
2007,57
2008,57
2009,67
2010,47
2011,44
2012,48
