year,Dorotha
1880,0
1881,0
1882,0
1883,0
1884,0
1885,6
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,5
1893,6
1894,0
1895,7
1896,0
1897,5
1898,8
1899,7
1900,8
1901,12
1902,13
1903,21
1904,28
1905,24
1906,31
1907,43
1908,47
1909,46
1910,64
1911,64
1912,102
1913,90
1914,100
1915,165
1916,181
1917,180
1918,163
1919,154
1920,168
1921,197
1922,191
1923,189
1924,191
1925,186
1926,183
1927,178
1928,155
1929,129
1930,127
1931,115
1932,96
1933,89
1934,91
1935,72
1936,71
1937,77
1938,45
1939,49
1940,39
1941,45
1942,50
1943,52
1944,27
1945,37
1946,31
1947,27
1948,22
1949,23
1950,14
1951,22
1952,14
1953,15
1954,27
1955,16
1956,17
1957,15
1958,14
1959,12
1960,16
1961,11
1962,7
1963,7
1964,10
1965,11
1966,9
1967,8
1968,0
1969,5
1970,5
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
