year,Dovid
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,5
1958,0
1959,0
1960,0
1961,0
1962,5
1963,0
1964,0
1965,0
1966,0
1967,0
1968,6
1969,8
1970,6
1971,9
1972,5
1973,12
1974,8
1975,11
1976,7
1977,10
1978,13
1979,14
1980,19
1981,17
1982,16
1983,22
1984,16
1985,27
1986,26
1987,19
1988,24
1989,30
1990,35
1991,24
1992,24
1993,45
1994,33
1995,36
1996,36
1997,49
1998,42
1999,47
2000,57
2001,50
2002,66
2003,57
2004,65
2005,63
2006,68
2007,89
2008,80
2009,96
2010,91
2011,89
2012,98
