year,Deeann
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,18
1938,14
1939,25
1940,23
1941,34
1942,33
1943,22
1944,29
1945,31
1946,33
1947,26
1948,26
1949,36
1950,23
1951,38
1952,35
1953,43
1954,57
1955,50
1956,59
1957,56
1958,82
1959,83
1960,118
1961,131
1962,128
1963,133
1964,129
1965,113
1966,99
1967,95
1968,90
1969,105
1970,120
1971,82
1972,47
1973,58
1974,65
1975,44
1976,44
1977,38
1978,32
1979,34
1980,33
1981,32
1982,31
1983,31
1984,38
1985,18
1986,19
1987,15
1988,20
1989,12
1990,17
1991,19
1992,7
1993,6
1994,7
1995,6
1996,0
1997,5
1998,7
1999,6
2000,0
2001,7
2002,6
2003,5
2004,0
2005,6
2006,0
2007,0
2008,6
2009,0
2010,0
2011,0
2012,0
