year,Derell
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,5
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,5
1961,0
1962,7
1963,7
1964,5
1965,5
1966,8
1967,5
1968,6
1969,6
1970,7
1971,9
1972,5
1973,8
1974,15
1975,6
1976,9
1977,11
1978,11
1979,11
1980,14
1981,16
1982,17
1983,12
1984,20
1985,28
1986,34
1987,29
1988,29
1989,26
1990,26
1991,29
1992,17
1993,20
1994,13
1995,14
1996,17
1997,11
1998,14
1999,13
2000,11
2001,10
2002,5
2003,7
2004,13
2005,9
2006,9
2007,12
2008,14
2009,16
2010,15
2011,11
2012,0
