year,Deirdra
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,11
1945,7
1946,8
1947,0
1948,7
1949,7
1950,0
1951,0
1952,0
1953,5
1954,6
1955,10
1956,8
1957,8
1958,7
1959,16
1960,46
1961,56
1962,51
1963,38
1964,49
1965,34
1966,25
1967,46
1968,38
1969,49
1970,30
1971,45
1972,35
1973,40
1974,25
1975,23
1976,22
1977,20
1978,23
1979,21
1980,21
1981,27
1982,24
1983,20
1984,15
1985,19
1986,27
1987,23
1988,19
1989,25
1990,19
1991,20
1992,11
1993,12
1994,8
1995,7
1996,6
1997,5
1998,7
1999,10
2000,7
2001,5
2002,5
2003,6
2004,0
2005,6
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
