year,Dante (F),Dante (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000014
1909,0.000000,0.000018
1910,0.000000,0.000022
1911,0.000000,0.000016
1912,0.000000,0.000034
1913,0.000000,0.000030
1914,0.000000,0.000039
1915,0.000000,0.000046
1916,0.000000,0.000037
1917,0.000000,0.000037
1918,0.000000,0.000028
1919,0.000000,0.000027
1920,0.000000,0.000029
1921,0.000000,0.000054
1922,0.000000,0.000046
1923,0.000000,0.000038
1924,0.000000,0.000032
1925,0.000000,0.000038
1926,0.000000,0.000022
1927,0.000000,0.000037
1928,0.000000,0.000036
1929,0.000000,0.000030
1930,0.000000,0.000024
1931,0.000000,0.000024
1932,0.000000,0.000018
1933,0.000000,0.000020
1934,0.000000,0.000017
1935,0.000000,0.000015
1936,0.000000,0.000012
1937,0.000000,0.000009
1938,0.000000,0.000010
1939,0.000000,0.000009
1940,0.000000,0.000009
1941,0.000000,0.000014
1942,0.000000,0.000009
1943,0.000000,0.000016
1944,0.000000,0.000011
1945,0.000000,0.000012
1946,0.000000,0.000011
1947,0.000000,0.000010
1948,0.000000,0.000011
1949,0.000000,0.000011
1950,0.000000,0.000011
1951,0.000000,0.000011
1952,0.000000,0.000012
1953,0.000000,0.000013
1954,0.000000,0.000013
1955,0.000000,0.000015
1956,0.000000,0.000015
1957,0.000000,0.000013
1958,0.000000,0.000017
1959,0.000000,0.000015
1960,0.000000,0.000018
1961,0.000000,0.000030
1962,0.000000,0.000026
1963,0.000000,0.000023
1964,0.000000,0.000031
1965,0.000000,0.000031
1966,0.000000,0.000039
1967,0.000000,0.000046
1968,0.000002,0.000044
1969,0.000004,0.000050
1970,0.000002,0.000062
1971,0.000002,0.000058
1972,0.000004,0.000081
1973,0.000002,0.000068
1974,0.000004,0.000084
1975,0.000004,0.000103
1976,0.000002,0.000098
1977,0.000006,0.000117
1978,0.000003,0.000116
1979,0.000004,0.000118
1980,0.000003,0.000112
1981,0.000004,0.000123
1982,0.000003,0.000123
1983,0.000003,0.000105
1984,0.000003,0.000114
1985,0.000003,0.000112
1986,0.000004,0.000125
1987,0.000004,0.000131
1988,0.000002,0.000138
1989,0.000001,0.000143
1990,0.000003,0.000162
1991,0.000004,0.000175
1992,0.000002,0.000172
1993,0.000004,0.000205
1994,0.000003,0.000211
1995,0.000004,0.000224
1996,0.000003,0.000268
1997,0.000004,0.000438
1998,0.000007,0.000454
1999,0.000003,0.000383
2000,0.000002,0.000358
2001,0.000003,0.000362
2002,0.000002,0.000339
2003,0.000003,0.000345
2004,0.000000,0.000317
2005,0.000002,0.000323
2006,0.000000,0.000299
2007,0.000002,0.000318
2008,0.000000,0.000291
2009,0.000000,0.000298
2010,0.000002,0.000363
2011,0.000003,0.000357
2012,0.000001,0.000342
2013,0.000000,0.000331
2014,0.000000,0.000299
2015,0.000000,0.000291
2016,0.000002,0.000276
2017,0.000001,0.000302
2018,0.000000,0.000305
2019,0.000000,0.000316
2020,0.000000,0.000332
