year,Dee (F),Dee (M)
1880,0.000030,0.000099
1881,0.000031,0.000166
1882,0.000054,0.000104
1883,0.000028,0.000101
1884,0.000033,0.000111
1885,0.000033,0.000116
1886,0.000051,0.000102
1887,0.000036,0.000158
1888,0.000037,0.000117
1889,0.000024,0.000083
1890,0.000017,0.000063
1891,0.000024,0.000063
1892,0.000027,0.000129
1893,0.000046,0.000089
1894,0.000018,0.000068
1895,0.000034,0.000091
1896,0.000022,0.000067
1897,0.000017,0.000072
1898,0.000026,0.000079
1899,0.000024,0.000083
1900,0.000022,0.000078
1901,0.000049,0.000046
1902,0.000000,0.000067
1903,0.000034,0.000066
1904,0.000035,0.000052
1905,0.000021,0.000085
1906,0.000044,0.000089
1907,0.000032,0.000073
1908,0.000025,0.000074
1909,0.000033,0.000068
1910,0.000027,0.000059
1911,0.000023,0.000062
1912,0.000024,0.000065
1913,0.000018,0.000050
1914,0.000020,0.000047
1915,0.000022,0.000065
1916,0.000019,0.000045
1917,0.000017,0.000055
1918,0.000023,0.000052
1919,0.000016,0.000059
1920,0.000018,0.000043
1921,0.000017,0.000051
1922,0.000016,0.000054
1923,0.000014,0.000050
1924,0.000020,0.000049
1925,0.000018,0.000054
1926,0.000018,0.000043
1927,0.000016,0.000044
1928,0.000018,0.000037
1929,0.000020,0.000050
1930,0.000020,0.000040
1931,0.000017,0.000045
1932,0.000028,0.000047
1933,0.000031,0.000050
1934,0.000032,0.000053
1935,0.000032,0.000050
1936,0.000033,0.000048
1937,0.000056,0.000045
1938,0.000069,0.000053
1939,0.000072,0.000045
1940,0.000076,0.000043
1941,0.000082,0.000039
1942,0.000087,0.000031
1943,0.000073,0.000034
1944,0.000090,0.000034
1945,0.000096,0.000025
1946,0.000089,0.000033
1947,0.000099,0.000033
1948,0.000085,0.000031
1949,0.000086,0.000030
1950,0.000092,0.000025
1951,0.000093,0.000028
1952,0.000103,0.000028
1953,0.000107,0.000031
1954,0.000106,0.000025
1955,0.000115,0.000025
1956,0.000113,0.000021
1957,0.000114,0.000023
1958,0.000125,0.000021
1959,0.000122,0.000018
1960,0.000123,0.000025
1961,0.000150,0.000020
1962,0.000151,0.000021
1963,0.000146,0.000023
1964,0.000146,0.000019
1965,0.000131,0.000021
1966,0.000117,0.000014
1967,0.000109,0.000014
1968,0.000093,0.000012
1969,0.000108,0.000012
1970,0.000087,0.000013
1971,0.000077,0.000017
1972,0.000061,0.000011
1973,0.000055,0.000013
1974,0.000045,0.000012
1975,0.000040,0.000011
1976,0.000038,0.000011
1977,0.000034,0.000011
1978,0.000027,0.000012
1979,0.000026,0.000008
1980,0.000027,0.000009
1981,0.000024,0.000008
1982,0.000017,0.000008
1983,0.000014,0.000007
1984,0.000017,0.000007
1985,0.000009,0.000005
1986,0.000014,0.000007
1987,0.000008,0.000003
1988,0.000006,0.000004
1989,0.000009,0.000004
1990,0.000004,0.000004
1991,0.000006,0.000004
1992,0.000005,0.000003
1993,0.000005,0.000004
1994,0.000007,0.000004
1995,0.000005,0.000003
1996,0.000004,0.000005
1997,0.000003,0.000003
1998,0.000002,0.000002
1999,0.000000,0.000003
2000,0.000002,0.000003
2001,0.000003,0.000002
2002,0.000002,0.000003
2003,0.000000,0.000003
2004,0.000000,0.000002
2005,0.000000,0.000003
2006,0.000001,0.000003
2007,0.000000,0.000002
2008,0.000000,0.000002
2009,0.000000,0.000000
2010,0.000001,0.000001
2011,0.000000,0.000002
2012,0.000002,0.000003
2013,0.000000,0.000004
2014,0.000000,0.000002
2015,0.000000,0.000002
2016,0.000000,0.000001
2017,0.000000,0.000000
2018,0.000000,0.000002
2019,0.000000,0.000003
2020,0.000000,0.000002
