year,Drew (F),Drew (M)
1880,0.000000,0.000030
1881,0.000000,0.000042
1882,0.000000,0.000050
1883,0.000000,0.000051
1884,0.000000,0.000033
1885,0.000000,0.000000
1886,0.000000,0.000047
1887,0.000000,0.000000
1888,0.000000,0.000033
1889,0.000000,0.000017
1890,0.000000,0.000017
1891,0.000000,0.000000
1892,0.000000,0.000018
1893,0.000000,0.000015
1894,0.000000,0.000018
1895,0.000000,0.000014
1896,0.000000,0.000014
1897,0.000000,0.000017
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000018
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000020
1905,0.000000,0.000014
1906,0.000000,0.000014
1907,0.000000,0.000017
1908,0.000000,0.000000
1909,0.000000,0.000010
1910,0.000000,0.000024
1911,0.000000,0.000011
1912,0.000000,0.000013
1913,0.000000,0.000018
1914,0.000000,0.000013
1915,0.000000,0.000014
1916,0.000000,0.000013
1917,0.000000,0.000013
1918,0.000003,0.000009
1919,0.000000,0.000012
1920,0.000000,0.000012
1921,0.000003,0.000010
1922,0.000000,0.000015
1923,0.000002,0.000010
1924,0.000000,0.000009
1925,0.000000,0.000009
1926,0.000000,0.000011
1927,0.000000,0.000010
1928,0.000000,0.000010
1929,0.000000,0.000010
1930,0.000000,0.000018
1931,0.000002,0.000014
1932,0.000000,0.000015
1933,0.000003,0.000015
1934,0.000000,0.000009
1935,0.000000,0.000012
1936,0.000000,0.000014
1937,0.000000,0.000009
1938,0.000000,0.000016
1939,0.000002,0.000020
1940,0.000000,0.000021
1941,0.000000,0.000020
1942,0.000002,0.000020
1943,0.000002,0.000026
1944,0.000003,0.000027
1945,0.000002,0.000033
1946,0.000004,0.000073
1947,0.000002,0.000059
1948,0.000000,0.000054
1949,0.000001,0.000059
1950,0.000003,0.000058
1951,0.000003,0.000053
1952,0.000002,0.000056
1953,0.000003,0.000056
1954,0.000003,0.000065
1955,0.000003,0.000065
1956,0.000004,0.000118
1957,0.000005,0.000112
1958,0.000002,0.000107
1959,0.000004,0.000130
1960,0.000003,0.000133
1961,0.000003,0.000137
1962,0.000001,0.000109
1963,0.000002,0.000107
1964,0.000002,0.000108
1965,0.000003,0.000113
1966,0.000000,0.000124
1967,0.000000,0.000111
1968,0.000000,0.000119
1969,0.000000,0.000108
1970,0.000001,0.000113
1971,0.000002,0.000092
1972,0.000002,0.000103
1973,0.000000,0.000100
1974,0.000002,0.000124
1975,0.000002,0.000125
1976,0.000002,0.000138
1977,0.000000,0.000153
1978,0.000002,0.000173
1979,0.000005,0.000187
1980,0.000002,0.000209
1981,0.000005,0.000263
1982,0.000010,0.000289
1983,0.000021,0.000398
1984,0.000023,0.000506
1985,0.000034,0.000638
1986,0.000032,0.000563
1987,0.000028,0.000488
1988,0.000020,0.000475
1989,0.000021,0.000523
1990,0.000022,0.000494
1991,0.000024,0.000463
1992,0.000033,0.000463
1993,0.000044,0.000491
1994,0.000052,0.000499
1995,0.000076,0.000595
1996,0.000079,0.000576
1997,0.000069,0.000549
1998,0.000075,0.000490
1999,0.000107,0.000544
2000,0.000075,0.000516
2001,0.000071,0.000418
2002,0.000057,0.000422
2003,0.000053,0.000414
2004,0.000063,0.000437
2005,0.000065,0.000508
2006,0.000050,0.000471
2007,0.000053,0.000459
2008,0.000043,0.000377
2009,0.000046,0.000331
2010,0.000045,0.000383
2011,0.000047,0.000338
2012,0.000064,0.000339
2013,0.000062,0.000324
