year,Delbert (F),Delbert (M)
1880,0.000000,0.000218
1881,0.000000,0.000140
1882,0.000000,0.000208
1883,0.000000,0.000198
1884,0.000000,0.000189
1885,0.000000,0.000174
1886,0.000000,0.000118
1887,0.000000,0.000113
1888,0.000000,0.000150
1889,0.000000,0.000111
1890,0.000000,0.000093
1891,0.000000,0.000129
1892,0.000000,0.000129
1893,0.000000,0.000095
1894,0.000000,0.000089
1895,0.000000,0.000094
1896,0.000000,0.000129
1897,0.000000,0.000121
1898,0.000000,0.000126
1899,0.000000,0.000144
1900,0.000000,0.000098
1901,0.000000,0.000110
1902,0.000000,0.000132
1903,0.000000,0.000131
1904,0.000000,0.000146
1905,0.000000,0.000170
1906,0.000000,0.000208
1907,0.000000,0.000189
1908,0.000000,0.000188
1909,0.000000,0.000178
1910,0.000000,0.000207
1911,0.000000,0.000217
1912,0.000000,0.000329
1913,0.000000,0.000325
1914,0.000000,0.000333
1915,0.000000,0.000344
1916,0.000004,0.000384
1917,0.000000,0.000386
1918,0.000000,0.000384
1919,0.000002,0.000402
1920,0.000000,0.000434
1921,0.000002,0.000416
1922,0.000000,0.000426
1923,0.000002,0.000433
1924,0.000003,0.000415
1925,0.000004,0.000385
1926,0.000004,0.000399
1927,0.000004,0.000415
1928,0.000003,0.000452
1929,0.000003,0.000439
1930,0.000000,0.000456
1931,0.000003,0.000443
1932,0.000000,0.000492
1933,0.000000,0.000461
1934,0.000000,0.000430
1935,0.000000,0.000412
1936,0.000000,0.000425
1937,0.000003,0.000427
1938,0.000002,0.000395
1939,0.000002,0.000383
1940,0.000000,0.000353
1941,0.000000,0.000310
1942,0.000000,0.000292
1943,0.000000,0.000279
1944,0.000000,0.000277
1945,0.000002,0.000242
1946,0.000000,0.000212
1947,0.000000,0.000201
1948,0.000000,0.000201
1949,0.000000,0.000174
1950,0.000000,0.000162
1951,0.000000,0.000165
1952,0.000000,0.000169
1953,0.000000,0.000160
1954,0.000000,0.000152
1955,0.000000,0.000163
1956,0.000001,0.000149
1957,0.000000,0.000135
1958,0.000000,0.000137
1959,0.000001,0.000134
1960,0.000000,0.000118
1961,0.000000,0.000115
1962,0.000000,0.000123
1963,0.000002,0.000110
1964,0.000000,0.000102
1965,0.000000,0.000103
1966,0.000000,0.000105
1967,0.000000,0.000095
1968,0.000001,0.000083
1969,0.000000,0.000077
1970,0.000000,0.000071
1971,0.000000,0.000073
1972,0.000000,0.000069
1973,0.000000,0.000078
1974,0.000000,0.000066
1975,0.000000,0.000055
1976,0.000000,0.000049
1977,0.000000,0.000054
1978,0.000000,0.000044
1979,0.000000,0.000045
1980,0.000000,0.000040
1981,0.000000,0.000038
1982,0.000000,0.000030
1983,0.000000,0.000039
1984,0.000000,0.000030
1985,0.000000,0.000032
1986,0.000000,0.000031
1987,0.000000,0.000024
1988,0.000000,0.000023
1989,0.000000,0.000019
1990,0.000000,0.000023
1991,0.000000,0.000021
1992,0.000000,0.000018
1993,0.000000,0.000016
1994,0.000000,0.000018
1995,0.000000,0.000018
1996,0.000000,0.000011
1997,0.000000,0.000012
1998,0.000000,0.000010
1999,0.000000,0.000010
2000,0.000000,0.000008
2001,0.000000,0.000008
2002,0.000000,0.000010
2003,0.000000,0.000008
2004,0.000000,0.000009
2005,0.000000,0.000010
2006,0.000000,0.000007
2007,0.000000,0.000010
2008,0.000000,0.000006
2009,0.000000,0.000006
2010,0.000000,0.000006
2011,0.000000,0.000004
2012,0.000000,0.000005
2013,0.000000,0.000005
2014,0.000000,0.000005
2015,0.000000,0.000006
2016,0.000000,0.000006
2017,0.000000,0.000006
2018,0.000000,0.000005
2019,0.000000,0.000005
2020,0.000000,0.000007
