year,Darlyne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,5
1916,6
1917,17
1918,7
1919,14
1920,7
1921,9
1922,29
1923,22
1924,20
1925,25
1926,26
1927,25
1928,34
1929,35
1930,38
1931,38
1932,45
1933,40
1934,42
1935,50
1936,47
1937,37
1938,41
1939,37
1940,39
1941,31
1942,31
1943,35
1944,30
1945,30
1946,40
1947,37
1948,23
1949,18
1950,21
1951,22
1952,14
1953,26
1954,15
1955,22
1956,16
1957,23
1958,21
1959,11
1960,19
1961,12
1962,18
1963,19
1964,18
1965,9
1966,12
1967,5
1968,6
1969,5
1970,0
1971,7
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,5
1985,0
1986,0
1987,10
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,7
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,8
2005,0
2006,6
2007,0
2008,5
2009,6
2010,5
2011,8
2012,0
