year,Dail
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,0
1914,8
1915,5
1916,6
1917,7
1918,11
1919,18
1920,14
1921,22
1922,6
1923,11
1924,10
1925,6
1926,6
1927,10
1928,13
1929,5
1930,11
1931,7
1932,12
1933,11
1934,7
1935,9
1936,6
1937,11
1938,8
1939,0
1940,6
1941,16
1942,12
1943,11
1944,13
1945,17
1946,14
1947,23
1948,14
1949,12
1950,16
1951,10
1952,29
1953,18
1954,17
1955,19
1956,15
1957,12
1958,14
1959,6
1960,8
1961,9
1962,8
1963,5
1964,6
1965,10
1966,8
1967,5
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,5
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
