year,Delford
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,0
1915,5
1916,9
1917,18
1918,8
1919,6
1920,13
1921,18
1922,11
1923,8
1924,14
1925,19
1926,12
1927,14
1928,13
1929,15
1930,13
1931,11
1932,14
1933,11
1934,12
1935,10
1936,13
1937,15
1938,12
1939,8
1940,5
1941,16
1942,5
1943,10
1944,11
1945,8
1946,10
1947,10
1948,8
1949,11
1950,9
1951,11
1952,11
1953,5
1954,11
1955,12
1956,6
1957,9
1958,10
1959,5
1960,6
1961,6
1962,5
1963,5
1964,5
1965,0
1966,5
1967,7
1968,0
1969,5
1970,0
1971,5
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,9
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
