year,Darcey
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,5
1948,7
1949,5
1950,7
1951,21
1952,17
1953,17
1954,18
1955,23
1956,26
1957,20
1958,22
1959,37
1960,52
1961,37
1962,42
1963,35
1964,41
1965,34
1966,56
1967,45
1968,72
1969,72
1970,83
1971,65
1972,61
1973,66
1974,56
1975,58
1976,48
1977,46
1978,53
1979,50
1980,41
1981,44
1982,35
1983,40
1984,43
1985,35
1986,21
1987,25
1988,38
1989,34
1990,30
1991,23
1992,28
1993,28
1994,15
1995,26
1996,11
1997,19
1998,18
1999,11
2000,9
2001,16
2002,10
2003,12
2004,8
2005,13
2006,6
2007,11
2008,7
2009,12
2010,10
2011,9
2012,15
