year,Delphia
1880,7
1881,0
1882,7
1883,12
1884,10
1885,16
1886,14
1887,13
1888,21
1889,25
1890,22
1891,20
1892,26
1893,33
1894,27
1895,25
1896,30
1897,33
1898,37
1899,30
1900,36
1901,40
1902,40
1903,42
1904,31
1905,30
1906,44
1907,45
1908,44
1909,45
1910,50
1911,58
1912,74
1913,70
1914,78
1915,95
1916,95
1917,112
1918,85
1919,105
1920,93
1921,113
1922,104
1923,96
1924,116
1925,80
1926,81
1927,96
1928,83
1929,76
1930,69
1931,69
1932,65
1933,61
1934,47
1935,53
1936,42
1937,47
1938,53
1939,41
1940,37
1941,54
1942,43
1943,38
1944,32
1945,29
1946,38
1947,26
1948,27
1949,42
1950,24
1951,38
1952,53
1953,23
1954,54
1955,30
1956,22
1957,33
1958,34
1959,24
1960,33
1961,33
1962,19
1963,34
1964,13
1965,24
1966,21
1967,18
1968,15
1969,15
1970,14
1971,17
1972,19
1973,15
1974,9
1975,11
1976,7
1977,11
1978,6
1979,0
1980,6
1981,6
1982,11
1983,6
1984,5
1985,5
1986,8
1987,0
1988,0
1989,0
1990,0
1991,6
1992,0
1993,0
1994,5
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,5
2008,0
2009,0
2010,0
2011,0
2012,0
