year,Dillie
1880,7
1881,8
1882,6
1883,5
1884,6
1885,6
1886,7
1887,5
1888,14
1889,14
1890,11
1891,9
1892,9
1893,10
1894,12
1895,12
1896,12
1897,6
1898,11
1899,9
1900,0
1901,7
1902,10
1903,8
1904,7
1905,18
1906,7
1907,0
1908,5
1909,10
1910,14
1911,8
1912,7
1913,7
1914,7
1915,7
1916,7
1917,12
1918,14
1919,15
1920,12
1921,12
1922,6
1923,12
1924,8
1925,10
1926,6
1927,13
1928,8
1929,14
1930,6
1931,8
1932,7
1933,8
1934,5
1935,0
1936,9
1937,8
1938,0
1939,0
1940,8
1941,5
1942,0
1943,0
1944,0
1945,0
1946,7
1947,11
1948,5
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
