year,Donnita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,7
1938,5
1939,5
1940,0
1941,0
1942,6
1943,7
1944,8
1945,9
1946,10
1947,17
1948,10
1949,14
1950,15
1951,17
1952,19
1953,9
1954,27
1955,15
1956,19
1957,28
1958,18
1959,22
1960,24
1961,25
1962,17
1963,24
1964,26
1965,25
1966,24
1967,21
1968,16
1969,23
1970,23
1971,24
1972,18
1973,28
1974,16
1975,19
1976,20
1977,20
1978,17
1979,16
1980,14
1981,13
1982,17
1983,9
1984,11
1985,10
1986,17
1987,13
1988,0
1989,7
1990,10
1991,7
1992,6
1993,0
1994,8
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
