year,Dempsey (F),Dempsey (M)
1880,0.000000,0.000055
1881,0.000000,0.000000
1882,0.000000,0.000027
1883,0.000000,0.000041
1884,0.000000,0.000000
1885,0.000000,0.000025
1886,0.000000,0.000020
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000017
1890,0.000000,0.000020
1891,0.000000,0.000017
1892,0.000000,0.000024
1893,0.000000,0.000015
1894,0.000000,0.000021
1895,0.000000,0.000000
1896,0.000000,0.000017
1897,0.000000,0.000014
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000013
1901,0.000000,0.000017
1902,0.000000,0.000000
1903,0.000000,0.000024
1904,0.000000,0.000012
1905,0.000000,0.000012
1906,0.000000,0.000016
1907,0.000000,0.000021
1908,0.000000,0.000012
1909,0.000000,0.000025
1910,0.000000,0.000020
1911,0.000000,0.000017
1912,0.000000,0.000012
1913,0.000000,0.000015
1914,0.000000,0.000013
1915,0.000000,0.000017
1916,0.000000,0.000013
1917,0.000000,0.000018
1918,0.000000,0.000020
1919,0.000000,0.000051
1920,0.000002,0.000041
1921,0.000000,0.000046
1922,0.000000,0.000035
1923,0.000003,0.000033
1924,0.000000,0.000017
1925,0.000000,0.000025
1926,0.000000,0.000023
1927,0.000000,0.000032
1928,0.000000,0.000031
1929,0.000000,0.000022
1930,0.000000,0.000025
1931,0.000000,0.000019
1932,0.000000,0.000019
1933,0.000000,0.000022
1934,0.000000,0.000020
1935,0.000000,0.000017
1936,0.000000,0.000013
1937,0.000000,0.000019
1938,0.000000,0.000020
1939,0.000000,0.000016
1940,0.000000,0.000013
1941,0.000003,0.000016
1942,0.000000,0.000015
1943,0.000000,0.000013
1944,0.000000,0.000014
1945,0.000000,0.000013
1946,0.000000,0.000012
1947,0.000002,0.000010
1948,0.000000,0.000014
1949,0.000000,0.000015
1950,0.000000,0.000011
1951,0.000000,0.000011
1952,0.000000,0.000008
1953,0.000000,0.000008
1954,0.000000,0.000011
1955,0.000000,0.000010
1956,0.000000,0.000008
1957,0.000000,0.000008
1958,0.000000,0.000011
1959,0.000000,0.000008
1960,0.000000,0.000006
1961,0.000000,0.000008
1962,0.000000,0.000007
1963,0.000000,0.000005
1964,0.000000,0.000009
1965,0.000000,0.000006
1966,0.000000,0.000005
1967,0.000000,0.000005
1968,0.000000,0.000007
1969,0.000000,0.000005
1970,0.000000,0.000007
1971,0.000000,0.000003
1972,0.000000,0.000006
1973,0.000000,0.000008
1974,0.000000,0.000008
1975,0.000000,0.000005
1976,0.000000,0.000005
1977,0.000000,0.000004
1978,0.000000,0.000003
1979,0.000000,0.000007
1980,0.000000,0.000007
1981,0.000000,0.000003
1982,0.000000,0.000004
1983,0.000000,0.000004
1984,0.000000,0.000004
1985,0.000000,0.000002
1986,0.000000,0.000002
1987,0.000000,0.000005
1988,0.000000,0.000004
1989,0.000000,0.000004
1990,0.000000,0.000004
1991,0.000000,0.000004
1992,0.000000,0.000004
1993,0.000002,0.000003
1994,0.000000,0.000004
1995,0.000001,0.000004
1996,0.000003,0.000006
1997,0.000000,0.000006
1998,0.000002,0.000005
1999,0.000000,0.000005
2000,0.000001,0.000005
2001,0.000000,0.000002
2002,0.000000,0.000005
2003,0.000000,0.000005
2004,0.000000,0.000003
2005,0.000001,0.000004
2006,0.000000,0.000006
2007,0.000002,0.000007
2008,0.000003,0.000007
2009,0.000004,0.000007
2010,0.000002,0.000013
2011,0.000007,0.000019
2012,0.000005,0.000017
2013,0.000010,0.000021
2014,0.000008,0.000025
2015,0.000010,0.000019
2016,0.000007,0.000019
2017,0.000006,0.000018
2018,0.000007,0.000016
2019,0.000009,0.000018
2020,0.000008,0.000015
