year,Denis (F),Denis (M)
1880,0.000000,0.000050
1881,0.000000,0.000047
1882,0.000000,0.000054
1883,0.000000,0.000032
1884,0.000000,0.000025
1885,0.000000,0.000037
1886,0.000000,0.000027
1887,0.000000,0.000032
1888,0.000000,0.000023
1889,0.000000,0.000021
1890,0.000000,0.000023
1891,0.000000,0.000017
1892,0.000000,0.000030
1893,0.000000,0.000022
1894,0.000000,0.000018
1895,0.000000,0.000034
1896,0.000000,0.000028
1897,0.000000,0.000000
1898,0.000000,0.000029
1899,0.000000,0.000000
1900,0.000000,0.000029
1901,0.000000,0.000014
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000020
1905,0.000000,0.000019
1906,0.000000,0.000016
1907,0.000000,0.000000
1908,0.000000,0.000016
1909,0.000000,0.000012
1910,0.000000,0.000015
1911,0.000000,0.000019
1912,0.000000,0.000022
1913,0.000000,0.000018
1914,0.000000,0.000021
1915,0.000000,0.000021
1916,0.000000,0.000020
1917,0.000000,0.000023
1918,0.000000,0.000022
1919,0.000000,0.000017
1920,0.000000,0.000021
1921,0.000000,0.000019
1922,0.000000,0.000024
1923,0.000000,0.000020
1924,0.000000,0.000024
1925,0.000000,0.000029
1926,0.000000,0.000035
1927,0.000000,0.000032
1928,0.000000,0.000031
1929,0.000000,0.000033
1930,0.000000,0.000040
1931,0.000000,0.000047
1932,0.000000,0.000048
1933,0.000000,0.000073
1934,0.000000,0.000069
1935,0.000000,0.000081
1936,0.000000,0.000080
1937,0.000000,0.000093
1938,0.000003,0.000110
1939,0.000000,0.000134
1940,0.000000,0.000118
1941,0.000000,0.000124
1942,0.000002,0.000144
1943,0.000000,0.000122
1944,0.000000,0.000116
1945,0.000002,0.000123
1946,0.000002,0.000140
1947,0.000000,0.000138
1948,0.000002,0.000125
1949,0.000000,0.000113
1950,0.000002,0.000137
1951,0.000000,0.000147
1952,0.000002,0.000162
1953,0.000002,0.000152
1954,0.000002,0.000143
1955,0.000001,0.000123
1956,0.000001,0.000119
1957,0.000002,0.000093
1958,0.000001,0.000099
1959,0.000001,0.000090
1960,0.000003,0.000088
1961,0.000002,0.000074
1962,0.000001,0.000081
1963,0.000002,0.000077
1964,0.000000,0.000071
1965,0.000001,0.000075
1966,0.000003,0.000078
1967,0.000004,0.000062
1968,0.000003,0.000066
1969,0.000002,0.000058
1970,0.000003,0.000056
1971,0.000002,0.000049
1972,0.000002,0.000051
1973,0.000002,0.000043
1974,0.000000,0.000044
1975,0.000003,0.000040
1976,0.000004,0.000045
1977,0.000003,0.000041
1978,0.000002,0.000034
1979,0.000002,0.000032
1980,0.000004,0.000036
1981,0.000004,0.000036
1982,0.000003,0.000025
1983,0.000002,0.000029
1984,0.000002,0.000023
1985,0.000003,0.000027
1986,0.000003,0.000031
1987,0.000004,0.000028
1988,0.000001,0.000024
1989,0.000004,0.000030
1990,0.000004,0.000028
1991,0.000004,0.000031
1992,0.000006,0.000029
1993,0.000005,0.000027
1994,0.000004,0.000025
1995,0.000002,0.000029
1996,0.000006,0.000028
1997,0.000003,0.000029
1998,0.000004,0.000030
1999,0.000003,0.000027
2000,0.000005,0.000029
2001,0.000005,0.000030
2002,0.000007,0.000031
2003,0.000007,0.000038
2004,0.000007,0.000038
2005,0.000007,0.000037
2006,0.000007,0.000040
2007,0.000007,0.000040
2008,0.000009,0.000034
2009,0.000007,0.000038
2010,0.000005,0.000034
2011,0.000004,0.000032
2012,0.000002,0.000034
