year,Derk
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,7
1951,0
1952,0
1953,6
1954,13
1955,12
1956,13
1957,21
1958,16
1959,8
1960,12
1961,10
1962,11
1963,13
1964,16
1965,17
1966,20
1967,27
1968,19
1969,22
1970,14
1971,21
1972,19
1973,11
1974,24
1975,16
1976,8
1977,11
1978,9
1979,10
1980,17
1981,7
1982,7
1983,9
1984,6
1985,13
1986,9
1987,10
1988,9
1989,8
1990,0
1991,0
1992,0
1993,5
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
