year,Dreama
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,5
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,6
1925,0
1926,9
1927,7
1928,5
1929,0
1930,0
1931,6
1932,7
1933,8
1934,13
1935,20
1936,15
1937,22
1938,25
1939,27
1940,21
1941,33
1942,38
1943,36
1944,34
1945,42
1946,49
1947,62
1948,64
1949,58
1950,65
1951,61
1952,75
1953,56
1954,73
1955,74
1956,79
1957,77
1958,84
1959,66
1960,70
1961,79
1962,71
1963,64
1964,76
1965,69
1966,46
1967,60
1968,53
1969,48
1970,56
1971,52
1972,46
1973,46
1974,33
1975,42
1976,34
1977,53
1978,25
1979,31
1980,34
1981,27
1982,14
1983,17
1984,21
1985,23
1986,20
1987,18
1988,24
1989,19
1990,21
1991,23
1992,16
1993,12
1994,11
1995,21
1996,18
1997,19
1998,21
1999,10
2000,29
2001,27
2002,21
2003,19
2004,28
2005,16
2006,20
2007,16
2008,16
2009,12
2010,7
2011,10
2012,9
