year,Derik
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,7
1953,0
1954,0
1955,10
1956,8
1957,9
1958,13
1959,12
1960,15
1961,25
1962,18
1963,36
1964,26
1965,43
1966,37
1967,63
1968,51
1969,71
1970,82
1971,90
1972,87
1973,91
1974,63
1975,71
1976,80
1977,87
1978,101
1979,119
1980,186
1981,164
1982,153
1983,158
1984,149
1985,173
1986,146
1987,198
1988,160
1989,163
1990,194
1991,171
1992,136
1993,122
1994,122
1995,130
1996,89
1997,93
1998,90
1999,77
2000,58
2001,71
2002,79
2003,83
2004,84
2005,86
2006,80
2007,90
2008,79
2009,57
2010,61
2011,51
2012,42
