year,Donta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,6
1965,5
1966,5
1967,10
1968,11
1969,20
1970,25
1971,23
1972,50
1973,77
1974,93
1975,106
1976,82
1977,117
1978,128
1979,110
1980,110
1981,97
1982,103
1983,117
1984,118
1985,103
1986,111
1987,92
1988,126
1989,129
1990,130
1991,147
1992,124
1993,122
1994,77
1995,77
1996,87
1997,82
1998,94
1999,67
2000,75
2001,67
2002,52
2003,62
2004,51
2005,57
2006,56
2007,67
2008,40
2009,44
2010,44
2011,51
2012,33
