year,Knox
1880,0
1881,8
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,7
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,5
1897,0
1898,0
1899,0
1900,8
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,6
1908,0
1909,6
1910,0
1911,0
1912,8
1913,10
1914,6
1915,9
1916,18
1917,23
1918,18
1919,19
1920,16
1921,22
1922,21
1923,21
1924,16
1925,11
1926,15
1927,16
1928,16
1929,19
1930,13
1931,11
1932,7
1933,11
1934,14
1935,9
1936,9
1937,9
1938,6
1939,6
1940,15
1941,15
1942,15
1943,14
1944,9
1945,9
1946,7
1947,10
1948,5
1949,12
1950,10
1951,15
1952,9
1953,14
1954,11
1955,8
1956,0
1957,6
1958,10
1959,8
1960,0
1961,10
1962,7
1963,7
1964,5
1965,5
1966,7
1967,0
1968,0
1969,0
1970,8
1971,7
1972,0
1973,5
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,5
1983,0
1984,0
1985,8
1986,6
1987,0
1988,5
1989,6
1990,7
1991,6
1992,9
1993,9
1994,6
1995,11
1996,17
1997,17
1998,24
1999,21
2000,22
2001,20
2002,25
2003,33
2004,50
2005,48
2006,60
2007,61
2008,93
2009,339
2010,579
2011,637
2012,819
