year,Kena
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,6
1948,5
1949,0
1950,0
1951,0
1952,6
1953,7
1954,0
1955,7
1956,9
1957,8
1958,7
1959,18
1960,12
1961,21
1962,18
1963,30
1964,33
1965,31
1966,28
1967,27
1968,46
1969,39
1970,42
1971,42
1972,51
1973,56
1974,43
1975,70
1976,63
1977,50
1978,58
1979,47
1980,55
1981,51
1982,40
1983,32
1984,21
1985,45
1986,30
1987,37
1988,29
1989,19
1990,28
1991,32
1992,24
1993,23
1994,23
1995,21
1996,21
1997,22
1998,17
1999,13
2000,21
2001,13
2002,13
2003,26
2004,19
2005,17
2006,24
2007,14
2008,23
2009,12
2010,10
2011,14
2012,15
