year,Kenneth (F),Kenneth (M)
1880,0.000000,0.000159
1881,0.000000,0.000151
1882,0.000000,0.000099
1883,0.000000,0.000120
1884,0.000000,0.000119
1885,0.000000,0.000170
1886,0.000000,0.000149
1887,0.000000,0.000141
1888,0.000000,0.000150
1889,0.000000,0.000228
1890,0.000000,0.000239
1891,0.000000,0.000227
1892,0.000000,0.000305
1893,0.000000,0.000255
1894,0.000000,0.000310
1895,0.000000,0.000362
1896,0.000000,0.000490
1897,0.000000,0.000473
1898,0.000000,0.000501
1899,0.000000,0.000631
1900,0.000000,0.000620
1901,0.000000,0.000711
1902,0.000000,0.000711
1903,0.000000,0.000866
1904,0.000015,0.001026
1905,0.000000,0.001118
1906,0.000000,0.001246
1907,0.000000,0.001266
1908,0.000000,0.001416
1909,0.000012,0.001459
1910,0.000000,0.001490
1911,0.000000,0.001783
1912,0.000011,0.002569
1913,0.000013,0.002695
1914,0.000015,0.002950
1915,0.000013,0.003100
1916,0.000016,0.003108
1917,0.000014,0.003060
1918,0.000020,0.003136
1919,0.000015,0.003220
1920,0.000016,0.003465
1921,0.000015,0.003838
1922,0.000018,0.004044
1923,0.000023,0.004228
1924,0.000019,0.004348
1925,0.000021,0.004348
1926,0.000031,0.004505
1927,0.000034,0.004677
1928,0.000034,0.004940
1929,0.000041,0.004945
1930,0.000039,0.005264
1931,0.000035,0.005496
1932,0.000028,0.005561
1933,0.000025,0.005705
1934,0.000023,0.005682
1935,0.000020,0.005774
1936,0.000016,0.006011
1937,0.000017,0.006204
1938,0.000023,0.006508
1939,0.000020,0.006677
1940,0.000023,0.006572
1941,0.000012,0.006624
1942,0.000022,0.006665
1943,0.000019,0.006772
1944,0.000018,0.006727
1945,0.000017,0.006820
1946,0.000017,0.006896
1947,0.000015,0.006824
1948,0.000017,0.006822
1949,0.000018,0.006769
1950,0.000012,0.006799
1951,0.000017,0.007016
1952,0.000017,0.006821
1953,0.000014,0.006619
1954,0.000015,0.006578
1955,0.000018,0.006661
1956,0.000017,0.006654
1957,0.000019,0.006675
1958,0.000025,0.006452
1959,0.000026,0.006407
1960,0.000022,0.006665
1961,0.000019,0.006303
1962,0.000029,0.006254
1963,0.000024,0.006374
1964,0.000033,0.006395
1965,0.000030,0.006253
1966,0.000030,0.005994
1967,0.000029,0.005674
1968,0.000028,0.005353
1969,0.000030,0.005049
1970,0.000029,0.004661
1971,0.000021,0.004301
1972,0.000024,0.003923
1973,0.000032,0.003639
1974,0.000021,0.003338
1975,0.000021,0.003191
1976,0.000025,0.003010
1977,0.000023,0.002975
1978,0.000021,0.002843
1979,0.000020,0.002778
1980,0.000024,0.002791
1981,0.000025,0.002739
1982,0.000019,0.002667
1983,0.000023,0.002590
1984,0.000025,0.002520
1985,0.000017,0.002522
1986,0.000025,0.002377
1987,0.000022,0.002318
1988,0.000019,0.002319
1989,0.000009,0.002225
1990,0.000010,0.002090
1991,0.000007,0.001945
1992,0.000006,0.001753
1993,0.000007,0.001665
1994,0.000004,0.001528
1995,0.000004,0.001427
1996,0.000003,0.001364
1997,0.000004,0.001285
1998,0.000002,0.001247
1999,0.000002,0.001160
2000,0.000002,0.001098
2001,0.000002,0.001044
2002,0.000000,0.000981
2003,0.000002,0.000958
2004,0.000004,0.000896
2005,0.000002,0.000876
2006,0.000002,0.000820
2007,0.000001,0.000777
2008,0.000002,0.000754
2009,0.000000,0.000684
2010,0.000001,0.000657
2011,0.000000,0.000606
2012,0.000000,0.000608
2013,0.000000,0.000597
2014,0.000000,0.000581
2015,0.000000,0.000549
2016,0.000001,0.000523
2017,0.000000,0.000493
2018,0.000000,0.000475
2019,0.000002,0.000467
2020,0.000000,0.000444
