year,Kylee (F),Kylee (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000000
1925,0.000000,0.000000
1926,0.000000,0.000000
1927,0.000000,0.000000
1928,0.000000,0.000000
1929,0.000000,0.000000
1930,0.000000,0.000000
1931,0.000000,0.000000
1932,0.000000,0.000000
1933,0.000000,0.000000
1934,0.000000,0.000000
1935,0.000000,0.000000
1936,0.000000,0.000000
1937,0.000000,0.000000
1938,0.000000,0.000000
1939,0.000000,0.000000
1940,0.000000,0.000000
1941,0.000000,0.000000
1942,0.000000,0.000000
1943,0.000000,0.000000
1944,0.000000,0.000000
1945,0.000000,0.000000
1946,0.000000,0.000000
1947,0.000000,0.000000
1948,0.000000,0.000000
1949,0.000000,0.000000
1950,0.000000,0.000000
1951,0.000000,0.000000
1952,0.000000,0.000000
1953,0.000000,0.000000
1954,0.000000,0.000000
1955,0.000000,0.000000
1956,0.000000,0.000000
1957,0.000000,0.000000
1958,0.000000,0.000000
1959,0.000000,0.000000
1960,0.000000,0.000000
1961,0.000000,0.000000
1962,0.000000,0.000000
1963,0.000000,0.000000
1964,0.000000,0.000000
1965,0.000001,0.000000
1966,0.000000,0.000000
1967,0.000000,0.000000
1968,0.000002,0.000000
1969,0.000002,0.000000
1970,0.000004,0.000000
1971,0.000005,0.000000
1972,0.000009,0.000000
1973,0.000006,0.000000
1974,0.000007,0.000000
1975,0.000005,0.000000
1976,0.000007,0.000000
1977,0.000009,0.000000
1978,0.000052,0.000000
1979,0.000060,0.000002
1980,0.000042,0.000000
1981,0.000037,0.000003
1982,0.000040,0.000001
1983,0.000046,0.000003
1984,0.000054,0.000000
1985,0.000063,0.000003
1986,0.000071,0.000003
1987,0.000077,0.000002
1988,0.000084,0.000003
1989,0.000159,0.000003
1990,0.000152,0.000004
1991,0.000155,0.000002
1992,0.000177,0.000003
1993,0.000185,0.000002
1994,0.000190,0.000002
1995,0.000243,0.000003
1996,0.000284,0.000005
1997,0.000319,0.000003
1998,0.000355,0.000004
1999,0.000393,0.000002
2000,0.000431,0.000003
2001,0.000448,0.000004
2002,0.000538,0.000003
2003,0.000578,0.000003
2004,0.000601,0.000006
2005,0.000572,0.000005
2006,0.000592,0.000006
2007,0.000564,0.000004
2008,0.000606,0.000005
2009,0.000570,0.000004
2010,0.000609,0.000003
2011,0.000607,0.000004
2012,0.000561,0.000005
2013,0.000512,0.000002
2014,0.000429,0.000003
2015,0.000377,0.000003
2016,0.000294,0.000002
2017,0.000241,0.000003
2018,0.000205,0.000003
2019,0.000165,0.000002
2020,0.000169,0.000002
