year,Kiesha
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,16
1966,13
1967,17
1968,20
1969,25
1970,67
1971,72
1972,96
1973,75
1974,107
1975,106
1976,119
1977,115
1978,122
1979,124
1980,94
1981,98
1982,77
1983,78
1984,82
1985,85
1986,74
1987,93
1988,79
1989,91
1990,90
1991,99
1992,66
1993,44
1994,62
1995,55
1996,46
1997,28
1998,22
1999,28
2000,13
2001,23
2002,14
2003,16
2004,10
2005,18
2006,9
2007,11
2008,6
2009,11
2010,5
2011,0
2012,0
