year,Kennon
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,9
1918,0
1919,0
1920,0
1921,10
1922,9
1923,9
1924,0
1925,5
1926,10
1927,6
1928,7
1929,5
1930,5
1931,5
1932,13
1933,5
1934,0
1935,0
1936,10
1937,6
1938,7
1939,9
1940,8
1941,6
1942,8
1943,15
1944,9
1945,10
1946,15
1947,11
1948,13
1949,8
1950,19
1951,10
1952,19
1953,22
1954,9
1955,17
1956,21
1957,19
1958,10
1959,19
1960,17
1961,12
1962,18
1963,22
1964,30
1965,19
1966,21
1967,28
1968,24
1969,16
1970,29
1971,23
1972,22
1973,25
1974,26
1975,18
1976,22
1977,20
1978,27
1979,27
1980,18
1981,20
1982,24
1983,19
1984,21
1985,21
1986,20
1987,29
1988,26
1989,30
1990,27
1991,35
1992,19
1993,20
1994,29
1995,31
1996,19
1997,20
1998,21
1999,24
2000,26
2001,14
2002,24
2003,28
2004,33
2005,25
2006,24
2007,24
2008,21
2009,12
2010,19
2011,16
2012,17
