year,Kimberli
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,6
1952,9
1953,7
1954,9
1955,24
1956,38
1957,44
1958,58
1959,74
1960,94
1961,88
1962,113
1963,84
1964,127
1965,134
1966,148
1967,150
1968,162
1969,150
1970,144
1971,133
1972,106
1973,88
1974,84
1975,72
1976,56
1977,57
1978,80
1979,65
1980,61
1981,60
1982,57
1983,53
1984,37
1985,55
1986,46
1987,42
1988,42
1989,52
1990,41
1991,48
1992,46
1993,41
1994,28
1995,25
1996,33
1997,28
1998,43
1999,34
2000,28
2001,32
2002,32
2003,32
2004,52
2005,46
2006,57
2007,66
2008,61
2009,31
2010,35
2011,28
2012,27
